"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Pericyte","TAM_other","COL6A1","CD44",0.0646278991307824,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TAM_other","COL4A1","CD44",0.0645024517369065,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TIM","MIF","CD74_CXCR4",0.0623446223493723,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","COL6A1","CD44",0.0621743493753478,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TAM_CLEC_LAM","COL4A1","CD44",0.0620533485485468,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_other","APP","CD74",0.0612646985281568,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","TAM_CLEC_LAM","APP","CD74",0.0581710945125091,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","COL4A2","CD44",0.057497069845804,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TAM_CLEC_LAM","COL4A2","CD44",0.0552982321949279,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","APP","CD74",0.054733982104298,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Osteoclast","TIM","APP","CD74",0.0535742777261072,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","APP","TREM2_TYROBP",0.0517309953592278,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"Pericyte","TAM_other","MIF","CD74_CXCR4",0.0512436120011236,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TAM_other","MIF","CD74_CXCR4",0.0498178570559953,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","TAM_other","MIF","CD74_CXCR4",0.0476921533838534,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0469618861992049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0456495300469556,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"TAM_CLEC_LAM","TAM_CLEC_LAM","HLA-DRA","CD4",0.0448654561622676,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Pericyte","TIM","APP","CD74",0.0440642287432864,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"TAM_other","TAM_CLEC_LAM","HLA-DRA","CD4",0.0440313907149905,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"T_NK","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0436935080574546,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","MIF","CD74_CD44",0.0405284784347557,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TIM","TAM_other","MIF","CD74_CXCR4",0.040488661735161,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"TAM_other","TAM_CLEC_LAM","HLA-DPB1","CD4",0.0404263494773106,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"TAM_CLEC_LAM","TAM_CLEC_LAM","HLA-DRB1","CD4",0.0400950783931177,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"TAM_CLEC_LAM","TAM_CLEC_LAM","HLA-DPB1","CD4",0.0400947379239399,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Pericyte","TAM_other","MIF","CD74_CD44",0.0400793506616237,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","TAM_CLEC_LAM","MIF","CD74_CD44",0.0393884744210545,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TIM","APP","CD74",0.0392903121905881,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","MIF","CD74_CD44",0.0389514670536671,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_CLEC_LAM","TAM_other","MIF","CD74_CXCR4",0.038779328695525,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"TAM_CLEC_LAM","TAM_CLEC_LAM","HLA-DPA1","CD4",0.0384742767711793,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Osteoclast","TAM_CLEC_LAM","APP","TREM2_TYROBP",0.038241801981979,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"TAM_CLEC_LAM","TAM_other","HLA-DRA","CD4",0.0379374518998723,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"T_NK","TAM_CLEC_LAM","MIF","CD74_CD44",0.0376901352912882,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_other","TAM_CLEC_LAM","HLA-DRB1","CD4",0.0374553019647457,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"T_NK","TAM_other","MIF","CD74_CD44",0.0372712395734336,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_other","TAM_other","HLA-DRA","CD4",0.0372271607584458,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"TAM_other","TAM_CLEC_LAM","HLA-DPA1","CD4",0.0371594811305993,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"TIM","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0370704671842737,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TIM","MIF","CD74_CD44",0.0368494801722962,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_other","TAM_other","MIF","CD74_CXCR4",0.0367236296631855,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TIM","MIF","CD74_CD44",0.0358090985243468,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_CLEC_LAM","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0355001029049281,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TIM","MIF","CD74_CXCR4",0.0349643707374871,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","TIM","MIF","CD74_CD44",0.0342595894986287,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_other","TAM_other","HLA-DPB1","CD4",0.034159305009659,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
