"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial","Pericyte","LAMA4","ITGA7_ITGB1",0.00847257445030737,0,"LAMA4_ITGA7_ITGB1","LAMA4 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Pericyte","LAMA4","ITGA7_ITGB1",0.00965962428117972,0,"LAMA4_ITGA7_ITGB1","LAMA4 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Pericyte","LAMB1","ITGA7_ITGB1",0.00570317176758318,0,"LAMB1_ITGA7_ITGB1","LAMB1 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Pericyte","LAMC1","ITGA7_ITGB1",0.00618072170273716,0,"LAMC1_ITGA7_ITGB1","LAMC1 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","Pericyte","TNC","ITGA8_ITGB1",0.00708092677828915,0,"TNC_ITGA8_ITGB1","TNC - (ITGA8+ITGB1)","TENASCIN","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","FN1","CD44",0.00552675686896356,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","COL1A2","CD44",0.0304229461421333,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","T_NK","COL4A1","CD44",0.00512379253335101,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","T_NK","COL4A2","CD44",0.00301220118824673,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","COL6A1","CD44",0.0154044072697431,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","T_NK","COL6A1","CD44",0.00414318794883956,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","COL6A2","CD44",0.017479462178357,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","T_NK","COL6A2","CD44",0.00513328970178952,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","COL6A3","CD44",0.00533588660635944,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","T_NK","LAMA4","CD44",0.00520058194603778,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","LAMA4","CD44",0.00593195192564591,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","LAMB1","CD44",0.00349691281971994,0,"LAMB1_CD44","LAMB1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"MSC","T_NK","LAMC1","CD44",0.00379042791196214,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Endothelial","APP","CD74",0.111546047848102,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","Endothelial","APP","CD74",0.0963201048963467,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Pericyte","Endothelial","APP","CD74",0.0314110509918069,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor","Endothelial","APP","CD74",0.0314854883435821,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","MSC","APP","CD74",0.0200910667532109,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","MSC","APP","CD74",0.017108267200966,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Pericyte","MSC","APP","CD74",0.00526801564727955,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","T_NK","APP","CD74",0.0210397363130478,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","T_NK","APP","CD74",0.0179186689782261,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Pericyte","T_NK","APP","CD74",0.00552070660765999,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","Pericyte","CD46","JAG1",0.003048129295554,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"MSC","Endothelial","CD99","CD99",0.0852706252539066,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial","MSC","CD99","CD99",0.0852706252539066,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MSC","MSC","CD99","CD99",0.12932149786757,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Pericyte","MSC","CD99","CD99",0.0834159894945114,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"T_NK","MSC","CD99","CD99",0.0755066672392602,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor","MSC","CD99","CD99",0.0950672561808221,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MSC","Pericyte","CD99","CD99",0.0834159894945114,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MSC","T_NK","CD99","CD99",0.0755066672392602,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MSC","Tumor","CD99","CD99",0.0950672561808221,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial","Endothelial","CDH5","CDH5",0.00546854015231256,0,"CDH5_CDH5","CDH5 - CDH5","CDH5","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial","Endothelial","ESAM","ESAM",0.0626783099226302,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Pericyte","Endothelial","ESAM","ESAM",0.0466690495642806,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Tumor","Endothelial","ESAM","ESAM",0.0138296947580252,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Endothelial","Pericyte","ESAM","ESAM",0.0466690495642806,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Pericyte","Pericyte","ESAM","ESAM",0.0345979320357948,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Tumor","Pericyte","ESAM","ESAM",0.010162052302216,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Endothelial","Tumor","ESAM","ESAM",0.0138296947580252,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Pericyte","Tumor","ESAM","ESAM",0.010162052302216,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Tumor","Tumor","ESAM","ESAM",0.00293236047753599,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"Endothelial","Endothelial","JAM2","JAM2",0.00441494486821338,0,"JAM2_JAM2","JAM2 - JAM2","JAM","Cell-Cell Contact","KEGG: hsa04514"
"Pericyte","MSC","JAG1","NOTCH3",0.00406043150943286,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Pericyte","Pericyte","JAG1","NOTCH3",0.0137366848738562,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Pericyte","Tumor","JAG1","NOTCH3",0.004066469308868,0,"JAG1_NOTCH3","JAG1 - NOTCH3","NOTCH","Cell-Cell Contact","PMID: 22353464"
"Pericyte","Endothelial","JAG1","NOTCH4",0.00512128659689679,0,"JAG1_NOTCH4","JAG1 - NOTCH4","NOTCH","Cell-Cell Contact","PMID: 22353464"
"MSC","MSC","GJA1","GJA1",0.00613162379175842,0,"GJA1_GJA1","GJA1 - GJA1","GAP","Cell-Cell Contact","PMID: 32532966;PMID: 15094344"
"Pericyte","MSC","NTN4","NTRK2",0.0165430662565999,0,"NTN4_NTRK2","NTN4 - NTRK2","Netrin","Cell-Cell Contact","PMID: 34531526"
"Pericyte","Pericyte","NTN4","NTRK2",0.0132641112180501,0,"NTN4_NTRK2","NTN4 - NTRK2","Netrin","Cell-Cell Contact","PMID: 34531526"
"Pericyte","Tumor","NTN4","NTRK2",0.00477522240223177,0,"NTN4_NTRK2","NTN4 - NTRK2","Netrin","Cell-Cell Contact","PMID: 34531526"
