,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
HNRNPH1,-0.054565309963515884,0.04746011945432414,0.1863103862876361,-0.10820194592804247,-0.0006119201688010191
RP11-395P17.3,-0.05486165650168914,0.04626607628518164,0.18219417617866593,-0.10849569286647949,-0.0009091563314282927
FBLIM1,-0.05494014434514603,0.045954096080314845,0.18152345645030812,-0.10857349063310259,-0.0009878813901686035
MMP7,-0.054971084718633476,0.04583159877185925,0.18141674513860953,-0.10860415879367138,-0.001018915459103928
MFGE8,-0.05505088595459531,0.045516921573478926,0.18054728807851766,-0.10868325746839162,-0.001098958833521852
ERO1LB,-0.05526500062444109,0.04468158200004761,0.17760461464454072,-0.10889548374080925,-0.0013137266009601912
LGALS2,-0.055373179496388224,0.04426447042372819,0.1763155006395882,-0.1090027066635564,-0.001422237335201218
HSPG2,-0.05542510804200321,0.04406541501314681,0.17589136244743472,-0.10905417588650879,-0.0014743256342775802
NADK2,-0.05547425633856745,0.04387771252873835,0.17559297620829117,-0.10910288918762659,-0.0015236254007870186
TRMT44,-0.05551392555797199,0.043726703648550476,0.17559297620829117,-0.10914220711993011,-0.00156341706786573
RP11-1275H24.2,-0.05563299881588043,0.04327605681049452,0.1745743268363898,-0.10926022492781964,-0.0016828588973725927
CNKSR3,-0.05616698849058846,0.041303006867125645,0.16757025356478011,-0.109789462794233,-0.002218520380246174
ANKRD62,-0.05631189296080753,0.040780908806947215,0.16591804439657326,-0.10993307255990574,-0.0023638838562356403
FGD2,-0.05656360309496818,0.03988726050069052,0.16333145463644824,-0.11018252837128534,-0.002616396738537251
TNFRSF12A,-0.05677747833820784,0.03914102787793932,0.16096959516901452,-0.1103944828337258,-0.002830959474161207
CTD-2267D19.2,-0.05693790854362829,0.03858907110335483,0.1593896415138569,-0.1105534690389734,-0.0029919086357221517
ASNS,-0.05699243583735271,0.038402981255485864,0.15931367769743043,-0.11060750491864124,-0.0030466129495650388
PICK1,-0.05708601226533078,0.038085400264550616,0.15868916776896091,-0.1107002372729262,-0.0031404939212245964
INSIG1,-0.057108280318782956,0.038010155958839484,0.15868916776896091,-0.11072230432762495,-0.00316283458593462
ZNF487,-0.05725036322776943,0.037533020654020574,0.1570765181555927,-0.11086310350496262,-0.0033053820642069145
AVIL,-0.05823431086428291,0.034366435091904374,0.14739554554089912,-0.11183810203329667,-0.004292607084267011
SPARC,-0.05840186058223434,0.0338505893426929,0.14584154138575173,-0.11200411758612067,-0.004460725362890942
CAV2,-0.05872385652432973,0.032877783340400195,0.1429468840886965,-0.11232315677924366,-0.004783822522169701
ITGA3,-0.0596601065100769,0.030183877036137834,0.13275316289042102,-0.11325074681249873,-0.005723338441199859
TMEM204,-0.05976983526720986,0.029880910372313402,0.1322264943725227,-0.11335945450515743,-0.005833456200973696
BMP1,-0.05978125516929943,0.029849529933494507,0.1322264943725227,-0.11337076806734782,-0.005844916663248069
TSC22D1,-0.05995163286267012,0.029384702634428477,0.1307516042281361,-0.11353955758657272,-0.006015901171441184
PLAU,-0.06004459298390931,0.029133718986243597,0.12993912223911463,-0.11363164987659173,-0.006109193707985909
ATP2A3,-0.06041916588266791,0.028140985628220337,0.12610347333400623,-0.11400271661167452,-0.006485115552497823
RP3-399L15.3,-0.06042844658952997,0.02811676307436426,0.12610347333400623,-0.11401191025732903,-0.006494429875414601
LINC01116,-0.06057352191131494,0.02774044390933352,0.12489773324107509,-0.11415562345177176,-0.006640031897459919
AREG,-0.060869282822782235,0.026986667693411782,0.12208254432733902,-0.1144486004872333,-0.0069368736612886025
SYNC,-0.061176631792328594,0.026222130002865277,0.11919150001302399,-0.11475304663246053,-0.007245355902731702
MIR4519,-0.06120830242640023,0.026144421250536745,0.11919150001302399,-0.11478441757437244,-0.007277143897665614
C15orf48,-0.061616540286020406,0.025160403544732684,0.11631330105837494,-0.11518878280383571,-0.007686904309364478
DDX55,-0.06178064812504621,0.024773952513003742,0.11508682096505406,-0.11535132887833524,-0.007851629303957334
FGFBP3,-0.06186663682524675,0.024573518482134293,0.1144355027354293,-0.11543649810469238,-0.00793794254795298
NFKBIA,-0.06224503387592957,0.02370808168347894,0.11122309925582713,-0.11581127966541048,-0.008317777316834456
