,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
FKRP,0.0017965260160324285,0.9576429588843182,0.9835983121337697,-0.06441094498989082,0.06798825082769233
KBTBD7,0.0017758460748835841,0.958130084476705,0.9835983121337697,-0.06443153917299461,0.06796766638293676
U91328.20,0.001743069258541135,0.9589021894516718,0.9835983121337697,-0.06446417995100419,0.06793504080882348
SDPR,0.0017329393167656588,0.9591408225913082,0.9835983121337697,-0.06447426782036889,0.06792495758105226
MXD4,0.0017327283318757766,0.9591457928450309,0.9835983121337697,-0.06447447792883713,0.06792474756897081
CDK11B,0.0016605929527695852,0.9608452058317432,0.9843511152016345,-0.06454631331677758,0.0678529444475863
GGT7,0.0016231181546883435,0.9617281324722813,0.9843511152016345,-0.06458363199667744,0.06781564198890798
SNORD3B-2,0.001557778878038515,0.9632676727664368,0.9851860552607358,-0.06464869863017703,0.0677506027524232
PRKCD,0.0014456567307806092,0.9659098379550431,0.9862014424098052,-0.06476035161017349,0.06763899416282504
F12,0.001440618459588404,0.9660285741051119,0.9862014424098052,-0.06476536876015623,0.06763397892973844
RP5-1159O4.1,0.0013967825319408356,0.9670616799932717,0.9862014424098052,-0.06480902077959007,0.06759034330601457
TP53INP1,0.001338783469128232,0.9684286609174722,0.9865678033696205,-0.06486677612511442,0.06753260887499
PIM1,0.0012494704600776755,0.9705338603900125,0.9881982832260242,-0.06495571296545787,0.06744370250664317
HK3,0.0011804258644119558,0.9721614536779329,0.9882470909803786,-0.06502446603814074,0.06737497154945925
C19orf68,0.0011707819470658887,0.9723887998060453,0.9882470909803786,-0.06503406918650666,0.06736537139007878
SLFN12,0.0011075434398390002,0.9738796417511426,0.9882470909803786,-0.06509704005356035,0.06730241951528591
ZNF674,0.0010761583075394089,0.9746195774683917,0.9882470909803786,-0.06512829216084909,0.0672711764423405
LINC01023,0.0010090319254765332,0.9762022210476474,0.9888277024372962,-0.06519513359367289,0.06720435346044529
NEUROD2,0.0008066269426027558,0.9809748786226432,0.9921223204251732,-0.06539667577782882,0.06700285971970535
PNPLA6,0.0007786838578061942,0.9816338266216301,0.9922762171012657,-0.06542449932436223,0.06697504201256986
SLC1A3,0.0006768230750190519,0.9840359888713182,0.9936077685671632,-0.06552592348335222,0.06687363739700103
PIP5K1C,0.000603672900028066,0.9857611650148529,0.9939621013212271,-0.06559875925797994,0.06680081396969861
TRIM25,0.0006003371559130554,0.9858398369590515,0.9939621013212271,-0.06560208064820706,0.06679749310889369
ATP2A3,0.00040883924673194134,0.9903564306651409,0.9980020026980678,-0.06579275207212776,0.06660684715975206
NOTCH1,0.0003203758848558208,0.9924430052917665,0.9990763004428169,-0.06588083200275774,0.06651877573263573
CAPN3,0.0002700941360502445,0.993629018723109,0.9997562274716585,-0.06593089535298424,0.06646871629610919
NEDD4,0.00019800145250876118,0.9953295182489067,0.999834867159821,-0.06600267432073148,0.06639694177677434
PIGQ,0.00016656434578465028,0.9960710539075452,0.999834867159821,-0.06603397441240753,0.06636564319586635
RP11-395P17.3,9.085256260467233e-05,0.9978569493355988,1.0,-0.06610935567970215,0.06629026449766486
NPLOC4,2.9102130152220056e-05,0.9993135316747274,1.0,-0.06617083598435064,0.0662287851694361
TOR4A,2.8358451942029456e-06,0.9999331073660809,1.0,-0.06619698721484059,0.06620263404952838
CCL21,0.0,1.0,1.0,-0.06619981063271453,0.06619981063271453
RP11-686O6.2,-5.2744285670538435e-05,0.998755854946692,1.0,-0.06625232358768272,0.06614729731103011
APBB3,-6.94584964093879e-05,0.9983615965603303,1.0,-0.06626896441519366,0.06613065621427502
LIN7A,-0.00012908986679356326,0.9969550029329166,1.0,-0.06632833367582627,0.06607128539293891
