,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
RASD1,0.042900344986187215,1.9807350421837e-05,0.00012442275502324825,0.023205217093770547,0.06256218594470447
TXN,0.042695231874028836,2.170146148698607e-05,0.00013546352531970866,0.022999837271873193,0.06235749810974481
PRTN3,0.042657110188528274,2.2071982963333734e-05,0.00013734447079065035,0.022961666199726744,0.06231945528266941
GPR160,0.04244264893726976,2.427121294571635e-05,0.0001500883417359718,0.022746928184116704,0.06210543660059612
AZU1,0.04167691643493541,3.394864083122225e-05,0.00020607966987760295,0.0219802223249741,0.06134126953408894
IL32,0.04105903015275675,4.432507960551573e-05,0.0002666220697483295,0.021361567509541015,0.06072462962981518
GZMB,0.04075802663353513,5.040852220917594e-05,0.0002995835825904618,0.021060195063133096,0.06042422784651059
RP11-544I20.2,0.04068222150256011,5.20608815886711e-05,0.0003084801491149616,0.020984297585315045,0.06034857369596126
HIST1H2BN,0.04067093341669291,5.231127983428122e-05,0.00030904134068764354,0.020972995767568964,0.06033730807314956
RP11-277L2.4,0.04029103458782003,6.14355797217688e-05,0.00035973340928528334,0.020592637730115895,0.05995816231333752
CTD-2020K17.1,0.04008302762124594,6.705007787530355e-05,0.0003891649256797589,0.020384381747617406,0.0597505652723621
FLOT2,0.04005470347154895,6.785113529531927e-05,0.0003915247196546766,0.020356023821842827,0.05972229681031649
PADI2,0.0395293324978738,8.445562834016995e-05,0.00048035651075999244,0.019830032098263728,0.05919795304079478
SOX4,0.03932759967146316,9.17978703097129e-05,0.0005176669675135798,0.019628063812702563,0.058996611758071374
C12orf57,0.03913381825021385,9.941503761662606e-05,0.0005574543775960529,0.019434057726984352,0.05880320494070072
RP11-347P5.1,0.039070317977126436,0.00010203824389918954,0.000570551870816595,0.01937048415626268,0.058739827100415094
GNLY,0.03893976198522259,0.00010763810242765475,0.000600173127300266,0.019239777965518366,0.05860952233112161
P2RY8,0.038588902228165,0.00012415830035812653,0.0006884196262873775,0.01888851789635,0.05825933439553124
LMNB1,0.03834346512134959,0.00013710494837729868,0.0007518047583672318,0.01864280364979536,0.0580143643707125
ITGAL,0.038326570839449986,0.0001380413517359985,0.0007548542236803223,0.01862589037895105,0.05799750215253471
APCDD1,0.03770634521675519,0.00017689808825022295,0.0009567921121980723,0.018004975436034912,0.057378445888522575
CD1C,0.03732007519014797,0.00020606776462882425,0.0011115340021418917,0.01761828378686089,0.05699289648165552
ITGA10,0.0372092714851098,0.00021523462597240764,0.0011547046825817005,0.017507360224869734,0.05688229840737556
ENTHD2,0.03699755288337884,0.000233824347360407,0.00124769174599572,0.01729541395465061,0.056670971372675565
ZNF816,0.03688756078636367,0.0002440666753035031,0.0012919262679398763,0.017185304278127245,0.05656118200683221
ADAM8,0.03675024214110511,0.00025744443600020345,0.0013527077051652169,0.017047839512510224,0.056424115791680975
TBKBP1,0.036748747984530615,0.00025759370909443424,0.0013527077051652169,0.017046343770104517,0.05642262437770597
AC009005.2,0.03668139069382578,0.000264407913975938,0.0013848277288713376,0.016978915080966016,0.056355390633497406
DUOX1,0.03666372404853716,0.0002662229283307261,0.001390664507201293,0.01696122973877676,0.056337756362767354
KIFC2,0.036559565073762686,0.00027716347505869386,0.0014440144304239037,0.016856960781460338,0.05623378801232881
IFNG,0.036543599085893844,0.0002788772685363194,0.0014491397331010314,0.016840977972817694,0.05621785120655881
SPON2,0.03638570656073681,0.00029636841617948083,0.001532008609677785,0.01668291964404464,0.056060246732268025
CTGF,0.03589031309330234,0.00035814724272993284,0.0018322739093271049,0.0161870123533907,0.05556575067055595
KDM3B,0.035863046240598925,0.0003618749683583337,0.001846585635453194,0.016159717500897612,0.055538532931527516
PRMT8,0.0356702501994311,0.00038928582870507864,0.0019762976214311536,0.015966724319194013,0.05534608332462253
C16orf54,0.03558797412446806,0.0004015640412570786,0.0020334301578961763,0.01588436456108599,0.055263954646068494
METTL12,0.03541666874306933,0.00042829771504290803,0.0021577943257872394,0.015712885802549675,0.055092955301529564
IQSEC1,0.03516442870214326,0.0004706995810005843,0.002353497905002921,0.015460392580830349,0.05484116378612743
LEF1,0.0348856089330007,0.0005221086076688125,0.002597457609580433,0.015181295876139056,0.05456283689379875
GNG11,0.03474136614023941,0.0005507133836509427,0.002732915166367803,0.01503691102044331,0.05441884788258033
GGT7,0.03438254668059687,0.0006283242987643332,0.0030871874580376273,0.014677741728575446,0.05406065618180504
BGN,0.03422428060672386,0.00066569127864203,0.00326270910643069,0.014519322968729091,0.05390266538680113
CD69,0.03421077650987909,0.0006689734591238626,0.003270719991036619,0.014505805889716483,0.0538891847325825
AP4B1-AS1,0.03398115487466511,0.0007271369923199054,0.0035376640435171866,0.014275964610080544,0.05365996061429572
MMP25,0.033904589055289,0.0007475526935942019,0.003628098036147899,0.014199326014655239,0.05358352688324205
STK17A,0.03374252192356255,0.0007925341818934295,0.003818398910336062,0.014037105601308712,0.0534217385826814
APOBEC3B,0.03355073282770601,0.0008490055570507893,0.004070715050110668,0.0138451364531773,0.05323027811887956
WARS,0.03350115561335126,0.0008641984443288146,0.004133575691548668,0.01379551293184969,0.0531807856201012
TYK2,0.03265965955984138,0.0011637035594716104,0.005447998975356479,0.012953245695692428,0.05234071273360291
PARP10,0.03265081274986424,0.0011673088248038619,0.00545201886408392,0.012944390926665796,0.052331880737689976
RP11-182L21.6,0.03226830867793187,0.001333422194129198,0.0061842127461365845,0.01256154568991677,0.05195001422797206
CTD-2228K2.5,0.032254578384781595,0.0013397718014146994,0.006184760525135298,0.012547803257799757,0.051936306713623724
CTA-384D8.34,0.031805215597887786,0.0015636298805168794,0.007176982476333052,0.01209804729757006,0.05148768533442724
BCL6,0.031614838727917136,0.0016684667332316516,0.007591657760367923,0.01190750626062296,0.051297620173326536
APOL2,0.03160982683195466,0.001671312061098631,0.007591657760367923,0.011902490062105659,0.05129261646420582
HIST2H2AC,0.03153294336238108,0.0017155230351385553,0.0077746877277398,0.011825540714810782,0.051215858458542346
CIC,0.03138805223615664,0.001801776420482454,0.008146984498081255,0.011680526072830925,0.0510712031438831
GCN1L1,0.03120344816572281,0.0019174419138398438,0.008650277724936569,0.011495765833367536,0.05088689832169079
SLC24A4,0.03114637041003927,0.001954560949281953,0.00879774032726684,0.01143864006411773,0.050829912819257785
ECE1,0.031040253316926218,0.0020253296247697158,0.009075122585029087,0.011332434047667393,0.05072396689971013
