,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
RP11-796E2.4,0.003683794812446684,0.8085749287344317,0.8855059964203816,-0.0261129112406684,0.03347396094455014
CMTM4,0.003658090736970483,0.8098849695264192,0.8855059964203816,-0.02613859811784964,0.03344828530255844
CIC,0.003640602227292121,0.8107765982815345,0.8855059964203816,-0.026156074903678737,0.0334308161159438
MIR4435-1HG,0.003635445851861764,0.8110395362310874,0.8855059964203816,-0.026161227818930044,0.03342566543432075
MIEF2,0.003630770529044108,0.8112779623882982,0.8855059964203816,-0.02616590000300964,0.03342099527275142
RPGR,0.0036280583826808002,0.8114162809940796,0.8855059964203816,-0.026168610328000032,0.03341828611982277
RNF40,0.0036160210121695064,0.8120302540319875,0.8856332666436152,-0.026180639609390675,0.03340626202984577
PCIF1,0.003608269647018368,0.8124256780702519,0.8856332666436152,-0.026188385761052015,0.033398519212020285
RP11-490O6.2,0.003585258393346979,0.8135998432754205,0.8864261883901341,-0.026211381516508186,0.03337553331148236
ABCA7,0.0035662216689417957,0.8145715220564822,0.8865111902139664,-0.026230405395731963,0.03335651753736944
EIF4E3,0.0034330891616902513,0.8213748071943642,0.8909828417023612,-0.026363447467525884,0.0332235309422214
NOP9,0.0033372158540115695,0.8262824499607399,0.8949749083466085,-0.02645925499575349,0.033127762057520084
SIRPB1,0.0032448285715713627,0.8310180760500111,0.8989857485731854,-0.026551578372637365,0.03303547488357326
PARP6,0.0030996917538113396,0.8384698974787685,0.9055657466509944,-0.02669661377077855,0.03289049430646223
PEX11G,0.00288454087870203,0.84954297908888,0.9140419037485563,-0.0269116119933153,0.03267557273573059
NACC2,0.0028355972468122053,0.852066171103472,0.9162597742380968,-0.02696052051414294,0.03262668088251987
R3HDM4,0.00277135735134328,0.8553802258432976,0.9193252264751368,-0.027024714108863326,0.03256250873164481
NADK,0.0026711229958013756,0.8605562644667146,0.922389858834123,-0.027124875729871642,0.032462379588262195
TMEM102,0.0026008091640663616,0.8641908165843439,0.9252698566723088,-0.02719513818169095,0.03239213920537805
MAST3,0.0025920787902231983,0.864642295499224,0.9252698566723088,-0.02720386215550457,0.03238341793062476
MAP3K3,0.002563385407123337,0.8661264435248719,0.9260590661965478,-0.027232534472195282,0.03235475442077863
DDX55,0.00255977312917981,0.8663133199903188,0.9260590661965478,-0.027236144094564114,0.032351145900176785
USP36,0.0025227262524902317,0.8682303209545197,0.9266105200504395,-0.027273163691305745,0.03231413751328342
RECQL5,0.002473725408070305,0.8707670714376783,0.9283191132360847,-0.02732212832777879,0.032265187452733
CMTM8,0.0024570782023034493,0.8716291932664153,0.9283748796152982,-0.027338763199971118,0.03224855746740016
SIGLEC14,0.0024461332087979395,0.8721960933142139,0.9283748796152982,-0.027349700075563,0.03223762378677932
AP5Z1,0.00241683388256822,0.8737139850658865,0.9289649230282523,-0.027378977635343155,0.032208354709614306
AC079922.3,0.002388907385925398,0.8751611881561383,0.9300052476174496,-0.027406883337828532,0.03218045699714481
SMG5,0.0023374882510066412,0.877826911937993,0.9318398037907856,-0.02745826406442397,0.0321290907391203
TMEM45A,0.0022920068795359585,0.8801859597259272,0.933844355131679,-0.02750371133165884,0.032083656007279256
GGT7,0.002281034681000564,0.8807552305346502,0.9339488922398429,-0.027514675284241757,0.03207269504193281
PDK4,0.002269433669810206,0.8813571930304205,0.9340879652630097,-0.027526267569110304,0.032061105899907676
PATZ1,0.0022549097111717533,0.882110920293799,0.9343876486187385,-0.027540780591478325,0.03204659678965239
PLCB2,0.002187842993697868,0.885592750954963,0.9360767277009305,-0.027607796646042366,0.0319795984741233
HCG27,0.0021678068032589385,0.8866333799265609,0.9366776495070803,-0.027627817648969887,0.031959582666834005
FAM160A2,0.002081513570377857,0.8911174427362369,0.9395647554560831,-0.027714045198056574,0.031873376948414744
RP11-1000B6.3,0.0020091663145735228,0.8948795197321552,0.9413790918073149,-0.027786337043611584,0.03180110272214779
CTC-524C5.2,0.0019547675738850476,0.8977098311499255,0.943856017488846,-0.027840693915413106,0.0317467586880115
CTD-2260A17.2,0.001885520924192135,0.9013145422237892,0.9463985570854608,-0.027909887013367586,0.031677581421970774
RP11-395P17.3,0.0018080693361375692,0.9053487782326656,0.949874127981813,-0.027987278366138988,0.03160020710057945
RP5-827C21.4,0.0017569594414858058,0.9080122936951224,0.9511596571758832,-0.02803834831621866,0.03154914799822868
HDAC10,0.001740251708940242,0.9088832178406433,0.9515140909429136,-0.02805504295722139,0.03153245683587139
KDM7A,0.0014888953791819036,0.921998297505684,0.9580312770618182,-0.02830620032772077,0.031281347787766985
HDAC4,0.001480958074961247,0.9224128086722796,0.9580312770618182,-0.028314131287953855,0.0312734182309254
RP11-146F11.1,0.0014750358416642975,0.9227221001806709,0.9580312770618182,-0.02832004878538972,0.0312675017757106
RP3-525N10.2,0.0014739054970233025,0.9227811343070236,0.9580312770618182,-0.02832117822588519,0.03126637253366362
H6PD,0.0014411743576517736,0.924490755531715,0.9588124378139186,-0.028353883151118784,0.03123367328887525
WEE1,0.001383651203619412,0.927496159615256,0.9607494827833701,-0.028411360080700568,0.031176206033272043
GLTSCR1L,0.001380203423089236,0.927676328594233,0.9607494827833701,-0.02841480508440528,0.03117276159688408
CYTH3,0.001363384754983285,0.9285552664670952,0.9610086847525909,-0.028431610196691135,0.03115595923174156
TXNRD2,0.0013334638167111599,0.9301191392252042,0.9621253244123071,-0.028461506977099437,0.03112606725532847
NPEPL1,0.0013018281090765237,0.9317729308222099,0.9628320285162836,-0.02849311708440718,0.031094462111395636
VPS16,0.0012006451484754795,0.9370643240567236,0.9667370561196731,-0.028594217765389094,0.03099337650507713
LCK,0.0011922963089852432,0.9375010564386346,0.9667370561196731,-0.028602559788573966,0.030985035671295128
NUDCD3,0.0011704928252695465,0.9386416969537045,0.9670458748224172,-0.028624345451536713,0.030963253075387994
GPR42,0.0011519614163963611,0.9396112592134879,0.9670458748224172,-0.02864286169178629,0.030944739397417317
KCNJ2,0.0011396042728471943,0.9402578340780381,0.9670458748224172,-0.028655208709206518,0.030932394065855896
NDST1,0.0011047808251847405,0.9420801456506335,0.967217252076873,-0.028690003571691606,0.030897603856444574
RP11-108M9.6,0.0010995422162471814,0.9423543086011066,0.967217252076873,-0.028695237874216427,0.03089237024140284
IL2RB,0.0010788158650878045,0.9434390902065385,0.9674147421232864,-0.028715947171201253,0.030871663632378744
AC007382.1,0.001077233008947394,0.9435219385123786,0.9674147421232864,-0.028717528723875684,0.030870082282879577
PARP12,0.0009926040071650463,0.9479523732874745,0.9692062453206344,-0.028802087817329344,0.030785533618029607
KCNE1,0.0008912852425344549,0.9532586428377441,0.9723728264216371,-0.0289033223260787,0.030684310472883156
WNT5B,0.0008619576062010157,0.9547949877725941,0.9734394942141966,-0.028932625459717736,0.03065501040043164
METTL7B,0.0007956012499975421,0.9582717141671654,0.9746064174055767,-0.028998926187405707,0.030588716220948914
RAB3GAP1,0.0007932346634313003,0.9583957259870365,0.9746064174055767,-0.02900129078515005,0.030586351847062373
ASNS,0.0007774185521559258,0.9592245338462371,0.9749495262043721,-0.029017093596388387,0.03057055051476492
P2RY2,0.0007586607268469021,0.9602075526729835,0.9754489423979515,-0.02903583562861655,0.03055181019794271
NSF,0.0006144296635877981,0.9677680059609768,0.9826262660320255,-0.029179944557252892,0.0304077130597115
CEBPE,0.0005339893352372443,0.9719859123075871,0.9848927732473202,-0.02926031623086218,0.030327346885878168
REXO1,0.0005096071809219619,0.9732645560451869,0.985684981722129,-0.029284677499252607,0.030302987132358183
CPNE2,0.00046066307410567075,0.9758314764505891,0.987276720692488,-0.029333579573366155,0.030254087885492727
PGS1,0.0004281899046721072,0.977534702539797,0.9884958459933524,-0.029366024776466416,0.030221644400796988
LTB4R,0.0003956677613774879,0.9792405999323255,0.9892125001353024,-0.029398518848326446,0.030189151924089212
TMEM164,0.00031234149538721963,0.9836117614526673,0.9913140120003304,-0.02948177290402625,0.030105901380689793
RAB40C,0.00030838743385246234,0.9838191984015376,0.9913140120003304,-0.02948572352870983,0.030101950902128412
TMPRSS2,0.00026725021754128725,0.9859773906159752,0.9924805393110578,-0.029526824933533542,0.0300608509070962
RP11-452L6.1,0.00023890883704949048,0.9874643322796359,0.9925291439264471,-0.029555141583175217,0.030032535111495694
EVI5L,0.0002377243685105489,0.9875264768703662,0.9925291439264471,-0.029556325017099098,0.030031351711182593
LPCAT1,0.00019414839672251638,0.9898127929907659,0.9943233323005972,-0.02959986286788387,0.029987814980799356
ARL8A,0.00017415424411247252,0.9908618624765112,0.9948035307359901,-0.029619839491432275,0.02996783879565911
ZBTB7A,0.00010555174657470771,0.9944614630779168,0.9963809620516257,-0.029688381663587917,0.029899297765888462
AC009005.2,4.3075416678644215e-05,0.9977397211358897,0.9982428677426148,-0.0297508028113502,0.029836877170947133
TMC4,3.29859122623601e-05,0.9982691426508773,0.9982691426508773,-0.02976088338243095,0.02982679664555463
ABCC6,-6.871212779576604e-05,0.9963945038388228,0.9973999473341192,-0.02986249103974132,0.02972518877193735
MICALL1,-9.76831971233752e-05,0.9948743376130397,0.9963809620516257,-0.02989143624873801,0.029696243275944268
MSANTD2,-9.911893176097912e-05,0.9947990023679065,0.9963809620516257,-0.029892870700501967,0.029694808807358423
SIRPD,-0.00015116341565630113,0.9920681833989453,0.9950774903253324,-0.029944868598176726,0.02964281013419452
RP11-467D6.1,-0.00016592512586416128,0.9912936392464983,0.9948035307359901,-0.029959617065481104,0.029628061388221556
MS4A3,-0.00024497828038822395,0.9871458927117471,0.9925291439264471,-0.030038599079730364,0.02954907744009132
CACFD1,-0.00027783301385480175,0.9854221722568112,0.9924251724657428,-0.03007142413763691,0.029516251359566134
UBE2C,-0.0003215457117632629,0.983128896558218,0.9913140120003304,-0.03011509725305889,0.02947257668430531
AC005082.12,-0.0003406870986076729,0.9821247350524135,0.9911167214364132,-0.030134221271285334,0.029453451911412687
ZNF669,-0.00036922096662286684,0.9806278948835437,0.9901097931037917,-0.030162729207587693,0.02942494276914852
RP11-802E16.3,-0.0004118602290733355,0.9783912373988153,0.988857980132068,-0.030205329628942658,0.029382340365003822
NHS,-0.0004946524567817207,0.9740488426918111,0.9859759713778333,-0.03028804613017071,0.02929961939555885
PPP6R2,-0.0005412530242733212,0.9716050052407037,0.9848927732473202,-0.03033460389464981,0.029253058757110397
TRPV4,-0.0005644570279467855,0.9703882335974148,0.9842792717061712,-0.030357786537037783,0.029229874587244374
TPPP3,-0.0005670890088891452,0.970250222067177,0.9842792717061712,-0.03036041609299074,0.029227244853984466
AC084018.1,-0.0008021519649110873,0.9579284545500908,0.9746064174055767,-0.030595260809423236,0.028992380975814965
ZC3H12C,-0.0008027775417218024,0.9578956745262233,0.9746064174055767,-0.030595885801040775,0.0289917559244241
G6PD,-0.0008029791223154713,0.9578851117830459,0.9746064174055767,-0.030596087193061772,0.028991554513132328
P2RY8,-0.0009275594459035771,0.951358638798398,0.9709339194321098,-0.030720550512737126,0.028867078358289704
WDR24,-0.0009633403630272322,0.9494847432494737,0.9695201907395552,-0.030756297654189132,0.02883132718882546
YTHDF3-AS1,-0.0009785405151489634,0.9486887744015484,0.9692062453206344,-0.0307714834349451,0.02881613965078808
FAM212B,-0.0009800263838440435,0.9486109683612961,0.9692062453206344,-0.03077296789805032,0.02881465501442632
SERPINE1,-0.0009877163676990136,0.9482082978285875,0.9692062453206344,-0.030780650605297284,0.028806971406304338
CLEC4G,-0.0009879632357619676,0.9481953712976465,0.9692062453206344,-0.03078089723970427,0.028806724742860314
RP11-47A8.5,-0.0010120154551731238,0.9469360123819418,0.9692062453206344,-0.030804926676747474,0.02878269244196016
RP11-504P24.8,-0.0010169485298412847,0.9466777360022255,0.9692062453206344,-0.03080985507452967,0.028777763448292457
WARS,-0.0011213605103243983,0.9412124920776651,0.9670458748224172,-0.030914167725625177,0.028673437505158123
SLC27A3,-0.0011300924487471235,0.9407555573535318,0.9670458748224172,-0.030922891327758696,0.02866471273259759
RP11-563N4.1,-0.0011394258916491962,0.9402671679805372,0.9670458748224172,-0.030932215855102956,0.0286553869441625
IL10,-0.0011535270165448181,0.9395293436221459,0.9670458748224172,-0.030946303500385873,0.02864129737392853
RP3-475N16.1,-0.001192542589350581,0.9374881731077119,0.9667370561196731,-0.03098528171556144,0.028602313709340552
EFEMP2,-0.0012197905314621324,0.9360628902228882,0.9667370561196731,-0.031012503513874672,0.028575087997739567
SPOCK1,-0.0013110686792229115,0.9312898390398123,0.9628320285162836,-0.03110369376025678,0.028483883998099112
SMAGP,-0.0013774432350872694,0.9278205690589401,0.9607494827833701,-0.03117000408559043,0.028417563048855288
AC091729.9,-0.0014409955207857982,0.9245000975494084,0.9588124378139186,-0.03123349462610018,0.02835406184458036
PFKFB4,-0.0015297280253468587,0.9198662245147433,0.9570081748491089,-0.031322140519065136,0.028265400258261266
RP11-326G21.1,-0.0015445656325782727,0.9190916219636818,0.9567039758530664,-0.031336963597603476,0.02825057446403403
CMTM2,-0.0015545465746166498,0.9185706064699908,0.9566635607540481,-0.03134693475912704,0.028240601460976934
FAAH,-0.0015866461368558018,0.9168952141669088,0.9554202231655183,-0.03137900282619187,0.0282085273909654
FAM160B2,-0.0016015166990401542,0.9161191902840098,0.9551132283360354,-0.03139385877701627,0.028193668617610274
LSS,-0.0016227471736362637,0.9150114114654392,0.9544598529692069,-0.03141506836838513,0.028172454950927406
CCNT1,-0.0016297016722447866,0.9146485704534822,0.9544598529692069,-0.03142201602040945,0.02816550595227677
PPP1R35,-0.001660830067797963,0.9130247098966535,0.9533900128605056,-0.03145311373531001,0.028134402139289184
ZSCAN25,-0.0016679518298844125,0.9126532430068477,0.9533900128605056,-0.0314602284699643,0.028127285993256066
FBXO32,-0.0016908033639203084,0.9114614497329462,0.952760545980066,-0.03148305743475604,0.028104452459008247
NFAM1,-0.0017228692295603511,0.9097894307049935,0.9515140909429136,-0.03151509157823525,0.028072411798710447
C16orf54,-0.0017241946073950475,0.9097203297154793,0.9515140909429136,-0.03151641564358128,0.028071087461370114
RP5-1142A6.8,-0.0017598450214745913,0.9078618882002083,0.9511596571758832,-0.03155203071470991,0.02803546499557719
FAM219A,-0.001771910520748804,0.9072330322984642,0.9511596571758832,-0.03156408423540757,0.028023408937959782
ELMO3,-0.0018808242118076403,0.9015591093203231,0.9463985570854608,-0.031672889405254805,0.02791458008322058
B9D2,-0.0019152701465419578,0.8997656598366001,0.945516456099478,-0.0317073008712115,0.027880160832494158
LINC00341,-0.002019277118075234,0.8943536111376683,0.9413249679029888,-0.0318112033382226,0.027776234002637314
EFCAB4A,-0.0020605431709233538,0.8922076609270466,0.9395647554560831,-0.03185242774918948,0.027734999568508157
NUP153,-0.002067925425571184,0.8918238457477391,0.9395647554560831,-0.03185980254366064,0.02772762295957112
