,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
MNT,-0.005848644796462869,0.7663632407734735,0.8750978036319587,-0.044398780590723094,0.03271888292907216
SLC35D2,-0.005951662623107182,0.762370692861221,0.8733570675585219,-0.044501598452028,0.03261597145647934
CLEC12B,-0.006074178006484301,0.7576307203425918,0.8694338648375924,-0.044623874960694185,0.032493581491521456
LAMB3,-0.0061750764964385455,0.7537338968936289,0.8664662710377196,-0.04472457585620952,0.032392785422330185
RP11-346C20.3,-0.006231851588901608,0.7515439182006782,0.8651193825729508,-0.044781239418808086,0.03233606761661493
CCDC159,-0.006329771669270951,0.7477715616682715,0.8626125693939397,-0.04487896656065578,0.0322382457551255
ANAPC2,-0.006412840361505233,0.7445760733965434,0.8604279449564951,-0.04496187099861027,0.03215525980577021
EME2,-0.00645984264670608,0.742769928755515,0.8593423388110771,-0.045008780109529245,0.03210830410293505
RNASEK,-0.006552680422645104,0.7392066385371452,0.8562189043336209,-0.04510143335039594,0.032015557835122006
FAM110A,-0.006588955844924054,0.7378158328955611,0.855715948374169,-0.04513763648726425,0.031979317988248525
FAM177B,-0.006614208244314485,0.7368481575173175,0.8557101272162618,-0.0451628385068551,0.0319540902940866
WWP2,-0.006614960242428251,0.7368193472306511,0.8557101272162618,-0.04516358900394268,0.03195333903092308
PLA1A,-0.006633999488681052,0.736090045587209,0.8557101272162618,-0.04518259023240161,0.03193431837777586
PDLIM3,-0.006665522834369139,0.7348830608716116,0.8557101272162618,-0.045214050570574656,0.031902825755339946
BAG3,-0.006746752400342767,0.731775914813114,0.8535950818084735,-0.04529511742599635,0.031821675004331015
CCL4L1,-0.006777719804138042,0.7305925206793138,0.8527162851719124,-0.04532602266546244,0.03179073751353321
TECPR2,-0.00681969469052194,0.728989507412809,0.8522696760201961,-0.0453679131731743,0.03174880305485829
AC062017.1,-0.006846468248153701,0.7279676476915808,0.8522696760201961,-0.045394632839304665,0.03172205521299587
CTD-2035E11.5,-0.006876080048307877,0.7268380240496004,0.8522696760201961,-0.045424184970728136,0.031692471790380296
ZNF865,-0.006903286722557275,0.725800673272019,0.8521389787438802,-0.04545133676318102,0.03166529112922601
CTD-2545M3.8,-0.006944579241378806,0.7242272102304813,0.8514716429568745,-0.04549254587716661,0.031624037982394146
PCNX,-0.006949304773041413,0.7240472165855962,0.8514716429568745,-0.04549726185558177,0.031619316948097574
MYL9,-0.006961372435705593,0.7235876332488895,0.8514716429568745,-0.04550930511417493,0.03160726076261696
DNAJA4,-0.006996088452790976,0.7222660685939731,0.8514716429568745,-0.04554395086362009,0.03157257770028536
CDK5R1,-0.007011845442281111,0.7216665064893891,0.8513174791008082,-0.04555967592926772,0.03155683563773213
7SK.2,-0.007061795913149167,0.7197669943473084,0.8500881178026877,-0.04560952507363728,0.031506932359551806
ZNF713,-0.00706771853246213,0.7195418838378388,0.8500881178026877,-0.0456154356659528,0.0315010153231167
FAM198B,-0.0073080170359985114,0.7104291649311858,0.8415657312177667,-0.0458552439217823,0.03126094105378617
ZNF185,-0.007464259540396073,0.7045260790349959,0.8370732263189915,-0.046011165282775185,0.03110484195934673
FOXO4,-0.007575054678706092,0.7003507907915174,0.8331107487340006,-0.04612173155276038,0.030994147376177894
LINC01003,-0.007698270149164881,0.6957180534066012,0.8295904389087735,-0.04624469138914103,0.03087104262211696
CTC-444N24.8,-0.007738089449502781,0.6942233136745801,0.8290306221581137,-0.046284427826982645,0.03083125885159926
