,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
MOAP1,-0.008529547035021498,0.6647665331082612,0.9999402028067165,-0.04707421311004698,0.030040482109759653
ANXA2R,-0.008566146585718507,0.6634163603893732,0.9999402028067165,-0.04711073416231681,0.03000391287546525
ADAP1,-0.00856933430217425,0.6632988158095487,0.9999402028067165,-0.04711391503690498,0.030000727794593517
NSMF,-0.008585412764386778,0.6627060612261801,0.9999402028067165,-0.047129958977636985,0.029984662614014036
RP6-99M1.2,-0.008640277689760792,0.6606849808566407,0.9999402028067165,-0.04718470595481261,0.029929842859863803
DYNLL2,-0.008647987393819749,0.6604011731331001,0.9999402028067165,-0.04719239906605208,0.029922139484741456
MAPK8IP3,-0.008663235133357955,0.6598400208414748,0.9999402028067165,-0.047207613975951905,0.02990690424866145
CRYAB,-0.008683142828964839,0.6591076590790039,0.9999402028067165,-0.04722747878173166,0.029887012850798287
FAM173A,-0.008702729855092432,0.6583874126696959,0.9999402028067165,-0.04724702357913827,0.02986744183007826
FAM126B,-0.008722012121213037,0.6576786820172926,0.9999402028067165,-0.04726626424475798,0.029848175291446156
CXCL14,-0.00873968752460824,0.6570292825176225,0.9999402028067165,-0.04728390148924998,0.029830514279732483
ARL8A,-0.008758888392337417,0.6563241301720264,0.9999402028067165,-0.04730306087756169,0.029811329018459922
FABP7,-0.008768092922640362,0.6559862019732121,0.9999402028067165,-0.04731224551336521,0.029802131959517964
RLIM,-0.008776782973828216,0.6556672265218956,0.9999402028067165,-0.047320916776057854,0.029793448956092504
U91328.20,-0.008779225818686578,0.6555775711949328,0.9999402028067165,-0.04732335433826964,0.029791008091369923
CCNT1,-0.00877954248656304,0.6555659494683361,0.9999402028067165,-0.0473236703213189,0.029790691680146326
CCL4L2,-0.008785507546000323,0.6553470470674095,0.9999402028067165,-0.047329622479253985,0.02978473145382395
IFI44L,-0.008797077833147825,0.6549225315350111,0.9999402028067165,-0.04734116773385367,0.029773170533537358
NUP153,-0.008799934076377473,0.654817752697076,0.9999402028067165,-0.047344017795959,0.029770316601024582
CDK16,-0.008816990585553824,0.6541921907133019,0.9999402028067165,-0.0473610373805079,0.029753273877569788
ZNF821,-0.00883293688461262,0.6536075660513981,0.9999402028067165,-0.04737694913812511,0.029737340446634702
KLHL18,-0.00883447968286909,0.6535510151033801,0.9999402028067165,-0.047378488593472656,0.02973579889232427
BGN,-0.008861875678327734,0.6525471519508448,0.9999402028067165,-0.04740582519726199,0.029708424955483568
RP11-742B18.1,-0.008871043188965012,0.6522113698898968,0.9999402028067165,-0.04741497282079672,0.029699264813393265
FLOT2,-0.008902369906809107,0.6510644855878438,0.9999402028067165,-0.04744623153272492,0.029667963226053407
C12orf57,-0.008908252263298548,0.6508492219403805,0.9999402028067165,-0.04745210111102376,0.029662085579993936
PRR24,-0.008913518365840213,0.6506565346616977,0.9999402028067165,-0.04745735577179965,0.02965682369214017
ACOX1,-0.008921797064560649,0.6503536633190492,0.9999402028067165,-0.04746561647891367,0.02964855161489576
GADD45G,-0.00893315412557421,0.6499382657655819,0.9999402028067165,-0.04747694884972059,0.02963720362890147
UBQLN2,-0.008944073082515916,0.6495389948488817,0.9999402028067165,-0.04748784405953683,0.02962629338753105
CHPT1,-0.008949053376434105,0.6493569150067471,0.9999402028067165,-0.047492813519002586,0.029621317065858847
CATSPER1,-0.00895931996917948,0.6489816338192433,0.9999402028067165,-0.04750305777111956,0.029611058655639493
OAS2,-0.008962306169580419,0.6488724940769613,0.9999402028067165,-0.04750603747187423,0.029608074833729937
RP11-140K17.3,-0.008968932103832324,0.6486303561382292,0.9999402028067165,-0.04751264898192874,0.02960145417454165
EML3,-0.008974756744139526,0.6484175313115417,0.9999402028067165,-0.047518460939610326,0.029595634168573796
NLRC5,-0.008980212295456055,0.6482182185428691,0.9999402028067165,-0.047523904609592015,0.029590182955561314
FAM110A,-0.008985616048560493,0.6480208229936075,0.9999402028067165,-0.047529296591912955,0.029584783497308784
CDKN1C,-0.009000569830541908,0.6474747000590744,0.9999402028067165,-0.04754421778894854,0.029569841588718674
TRMT6,-0.009046716921383275,0.6457905710849532,0.9999402028067165,-0.04759026421480742,0.029523731030263435
