,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
NNMT,0.0005021546878416168,0.9764801065259574,0.9996098483911123,-0.03286916092254892,0.033872351891614694
EBI3,0.0005015307131561945,0.9765093237717981,0.9996098483911123,-0.03286978422324768,0.033871728632667894
GDF15,0.0004995426322692938,0.9766024146941304,0.9996098483911123,-0.032871770156534606,0.033869742832063024
MT1H,0.0004947252674527571,0.9768279867812888,0.9996098483911123,-0.032876582316359045,0.033864930991557914
RGS16,0.0004933595498719393,0.9768919365554692,0.9996098483911123,-0.03287794655804889,0.033863566839831785
PLAU,0.0004921540014253858,0.9769483865276163,0.9996098483911123,-0.03287915080359122,0.03386236267349572
DFNB31,0.0004894861024257756,0.9770733116757422,0.9996098483911123,-0.03288181581889738,0.033859697832785404
S100A3,0.0004887652823938891,0.9771070643803587,0.9996098483911123,-0.032882535859723894,0.03385897783896882
RP11-838N2.4,0.00048016296454572613,0.9775098747175742,0.9996098483911123,-0.03289112887580584,0.03385038537855996
LUM,0.00047424774285318024,0.9777868629839839,0.9996098483911123,-0.032897037698451564,0.033844476932287336
FABP4,0.00046569575443648927,0.9781873261470139,0.9996098483911123,-0.03290558043126069,0.03383593473537494
CXCL11,0.0004623343493226999,0.9783447318602216,0.9996098483911123,-0.03290893819707313,0.03383257717752986
CTC-444N24.8,0.00046060650874944135,0.978425642393799,0.9996098483911123,-0.03291066416666755,0.033830851314249274
SLC7A8,0.0004566430243608825,0.9786112434772455,0.9996098483911123,-0.03291462335847564,0.03382689236481009
RP11-804H8.6,0.0004523513612725679,0.9788122137376957,0.9996098483911123,-0.03291891037237444,0.03382260561098657
RGS5,0.0004500435878972203,0.9789202828463686,0.9996098483911123,-0.032921215645214594,0.03382030047698241
C5AR2,0.00044991629506232057,0.9789262437649598,0.9996098483911123,-0.03292134280011391,0.033820173329720385
CCL4L2,0.000448528488993811,0.978991232565828,0.9996098483911123,-0.03292272910227406,0.03381878711068538
C17orf96,0.0004370868743485118,0.9795270308649516,0.9996098483911123,-0.03293415831321894,0.03380735857527061
RP11-128M1.1,0.00043327425217795965,0.9797055738534122,0.9996098483911123,-0.0329379668002384,0.033803550309476814
CAV1,0.0004303376707076876,0.9798430930333464,0.9996098483911123,-0.03294090019604629,0.03380061708274141
TIMP3,0.0004249208888064441,0.9800967607814128,0.9996098483911123,-0.0329463111002057,0.033795206487434434
IL2RA,0.0004226981256644364,0.9802008533019689,0.9996098483911123,-0.03294853145086473,0.03379298626238018
TREM2,0.00041741558076435645,0.9804482374702611,0.9996098483911123,-0.03295380826101643,0.03378770974809343
FSTL1,0.00041666930667210426,0.980483186004023,0.9996098483911123,-0.03295455372480106,0.033786964325806204
C10orf10,0.0004148384128872914,0.9805689281893264,0.9996098483911123,-0.032956382630436216,0.033785135521665344
C19orf68,0.0004139094122164711,0.9806124341018629,0.9996098483911123,-0.03295731062222882,0.03378420758120031
MT1M,0.0004108625982572063,0.9807551194635513,0.9996098483911123,-0.03296035412699849,0.033781164243960445
CYP1B1-AS1,0.0004072312851885553,0.9809251783096702,0.9996098483911123,-0.032963981495236064,0.033777537073774816
GPR183,0.0004055890699893728,0.9810020855471704,0.9996098483911123,-0.03296562192614681,0.03377589673185318
NDST2,0.00040499742077257654,0.9810297933518048,0.9996098483911123,-0.0329662129324849,0.03377530575748755
DCN,0.0003952135109044711,0.98148799155917,0.9996098483911123,-0.03297598620789364,0.03376553300402913
COL4A2,0.00038595971330519855,0.9819213692685761,0.9996098483911123,-0.03298522994135768,0.03375628975249026
KB-1507C5.4,0.00038467045981780594,0.9819817485518307,0.9996098483911123,-0.032986517792240974,0.03375500196784334
AC092484.1,0.00037149945044925625,0.9825985889593759,0.9996098483911123,-0.032999674466261855,0.033741845957795884
PPIC,0.00037149944435049804,0.9825985892450027,0.9996098483911123,-0.032999674472353975,0.03374184595170407
