,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
MED14,0.0011196434912222853,0.9426593136032189,0.9673621258045612,-0.029381099834455176,0.0316183037583088
TSC2,0.0010690537156018826,0.9452460199584888,0.9690008937584927,-0.02943164592387171,0.03156776441681944
AC002451.3,0.001025186711961759,0.9474894523574545,0.970792437318627,-0.02947547492040681,0.03152394101897484
VPS18,0.0009210998970223992,0.9528142602443186,0.9757376158778116,-0.02957947108348679,0.03141995720184344
ZNF865,0.0008391240672866226,0.9570094227162893,0.9790096393304569,-0.02966137505357533,0.03133806202553701
REXO1,0.0008200828307934866,0.9579840440985354,0.979494912973855,-0.029680399539989383,0.03131903946450821
GLTSCR1L,0.0007558205084215153,0.9612737515099532,0.9814766828645551,-0.02974460516933876,0.03125484000690338
RP11-20I23.13,0.0007528450588378347,0.9614260866875469,0.9814766828645551,-0.02974757798784708,0.03125186746196447
TRPV4,0.0007337403308842377,0.9624042317084436,0.98196325465614,-0.02976666580937145,0.031232781371263132
RP5-882C2.2,0.0006878341435143672,0.9647548159657039,0.9832562287755993,-0.029812531281836255,0.031186919875864257
WDR74,0.0006194581430146304,0.9682565079092512,0.9843438434508379,-0.029880846400484433,0.031118610204729925
CYP4F3,0.000606345488145746,0.9689281090620212,0.9845154320412234,-0.029893947347310584,0.031105510237469283
ZNF212,0.0005813340573994183,0.9702091998513959,0.9853058160316562,-0.029918936416763936,0.03108052297835432
CCRL2,0.0005605913569509124,0.9712717037984632,0.9858735075362316,-0.029939660543426807,0.03105980029521869
IL11RA,0.0005118239536705939,0.9737699153381646,0.9867692064483201,-0.029988384175262145,0.031011079850622025
RP11-175O19.4,0.00042182039593783585,0.9783811918808366,0.9883557547303499,-0.03007830656921673,0.03092116257776559
CTSK,0.0003993601077331424,0.9795320494450348,0.9883557547303499,-0.03010074652611752,0.03089872374488963
TPRN,0.00039677620495617464,0.9796644505251043,0.9883557547303499,-0.030103328087944883,0.030896142308429932
CAPS,0.00039671174695424667,0.9796677534077383,0.9883557547303499,-0.030103392487544314,0.03089607791194752
KMT2B,0.00032985073875022014,0.9830939452031547,0.9883641808011703,-0.030170192779640018,0.03082928058037073
PRDM1,0.0002861111806602238,0.9853354856608194,0.9883641808011703,-0.030213892470668028,0.030785582531255958
ZNF335,0.00015505890368328341,0.9920522018971663,0.9935745326417654,-0.030344824600104233,0.03065465392530596
PAM16,0.00010288069740799347,0.9947266325369442,0.9952349241222976,-0.030396954678541976,0.030602524667085882
ITIH4,-5.9485776452851955e-05,0.9969509161048515,0.9969509161048515,-0.0305591703282645,0.03044030944675858
SELO,-0.00011807007180113489,0.9939480830311773,0.9949643898645426,-0.03061769980953984,0.030381779331557862
SCARF1,-0.0001855466159042212,0.9904895721627714,0.9925171864353667,-0.030685112960395305,0.030314364932168263
MYL9,-0.00023319713255509912,0.9880473482770634,0.9905769113806914,-0.030732718542908613,0.030266758133642845
KLHL2,-0.00029214199749591794,0.9850264144498666,0.9883641808011703,-0.03079160763175736,0.030207867157638648
RP11-295P9.3,-0.0002945442981488767,0.9849033004115939,0.9883641808011703,-0.03079400765476256,0.030205467048740945
NLRX1,-0.0003020061887310821,0.9845208928453199,0.9883641808011703,-0.030801462468401174,0.030198011963822175
ZNF432,-0.0003141212732414148,0.9839000256338265,0.9883641808011703,-0.03081356605559791,0.03018590792172227
C17orf70,-0.0003156462248893593,0.9838218764303504,0.9883641808011703,-0.030815089559420552,0.03018438435937235
CTA-384D8.34,-0.00033498604018646874,0.9828307825507342,0.9883641808011703,-0.030834411000742412,0.030165062151201467
SLC25A12,-0.00034804434337499775,0.9821616077790227,0.9883641808011703,-0.030847456884874985,0.03015201572350736
IL7R,-0.00037492622840230123,0.980784081430577,0.9883557547303499,-0.03087431317125959,0.03012515825271215
OSGIN1,-0.0003821951727568568,0.9804116037361635,0.9883557547303499,-0.03088157518609849,0.030117895902476526
BAG3,-0.00038251120080177905,0.9803954098169017,0.9883557547303499,-0.030881890912799487,0.030117580161047576
U91328.20,-0.00042315136570097815,0.9783129948287685,0.9883557547303499,-0.03092249227514681,0.030076976803297368
VPS33B,-0.00044113957122978576,0.9773913197704891,0.9883557547303499,-0.03094046327370242,0.030059004857262414
INTS5,-0.0004941771118438973,0.9746739761343469,0.9867692064483201,-0.03099344996542793,0.03000601514235689
ZBTB43,-0.0004999000244548603,0.9743807834569571,0.9867692064483201,-0.030999167381042032,0.030000297380038555
ATF7IP2,-0.0005118237671362055,0.9737699248942837,0.9867692064483201,-0.031011079664266975,0.02998838436162883
KLHDC4,-0.000543496023925795,0.9721474169320229,0.9862511100274097,-0.031042721439980648,0.02995674054894324
CDC34,-0.0006280412711670667,0.9678169112429178,0.9843438434508379,-0.031127185022302266,0.02987227093037095
RP13-1032I1.7,-0.0006288790993640321,0.9677740012455665,0.9843438434508379,-0.031128022039034874,0.029871433849460567
ZNF674,-0.000662022716564323,0.9660766022140798,0.9836598997062757,-0.031161133521227208,0.029838319759823775
LSR,-0.0006795706577479764,0.9651779732924932,0.9832562287755993,-0.031178664421375814,0.029820787424948987
PPP6R2,-0.0006955082939332428,0.9643618462593477,0.9832562287755993,-0.031194586564053287,0.029804863946680485
COL6A2,-0.0007948451093558987,0.9592759276685723,0.9803038968554617,-0.03129382646193948,0.029705615026407402
C19orf35,-0.0008660100856740189,0.9556333776688576,0.9781129918848004,-0.031364921636749137,0.029634512648488057
ZNF513,-0.0010932655339861437,0.944007971533327,0.9682386633118147,-0.03159195211733428,0.029407455032780302
GBE1,-0.0012029994308137882,0.9383985711330232,0.9640002110590028,-0.031701576258230876,0.029297815535648624
ZNF787,-0.0013289769815428224,0.9319626062703268,0.9588979417116656,-0.03182742690138583,0.02917194545345577
