,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
PPM1M,0.049575718266002614,0.010339592373371785,0.04835939469087864,0.011692121538594004,0.0873172006634561
KDM7A,0.049441056367047466,0.010549311336761109,0.049221666597724305,0.011557147003345753,0.08718323553244235
RP11-274B18.2,0.049174409639039664,0.010975765526701639,0.05084477538741738,0.011289885291135683,0.08691796446092538
PLEC,0.04903591597083979,0.011203245679285321,0.05177499967498288,0.011151074341968319,0.08678018318311513
ITPKC,0.048979469262799405,0.011297154904133959,0.051961558457165914,0.011094498736627448,0.08672402641417705
SMPDL3A,0.04879672189108745,0.011605996644889609,0.05300526938289584,0.0109113357210617,0.0865422160808612
ITGAL,0.04863006898937767,0.011894140822465638,0.05406680875036488,0.0107443059973378,0.08637641550121333
NADK,0.04808689776700417,0.01287777073623343,0.05772691223794247,0.010199921274800053,0.08583600773564787
PPM1A,0.04797678664434557,0.013085720502302807,0.05841086760450466,0.01008956689036795,0.08572645411027861
SLC16A6,0.04768660525914154,0.013648021396913524,0.0606197014448722,0.009798748845896712,0.08543773755293235
SIRPB1,0.04756524929964909,0.013889434971018874,0.06141091863040463,0.009677128531561663,0.08531699231491893
RHOB,0.04753078964868334,0.01395866882394751,0.06157676406200481,0.009642594020013974,0.08528270587932898
CLMN,0.047100180880714874,0.014849833795682742,0.06506439593097112,0.009211057413270161,0.08485425407612215
LINC00877,0.04631798631243733,0.01659738958157899,0.07127330349080713,0.008427213539254075,0.08407594188676476
CSF3R,0.04611531514178531,0.017078640598334485,0.07301683128054456,0.008224122619203791,0.08387426914770642
FAM110A,0.045595220250683625,0.018370014837144743,0.07785196244300861,0.007702964870118246,0.08335672227810803
ZNF467,0.04555384931255669,0.01847631213143512,0.07813185587606877,0.007661510270783348,0.08331555314764208
NPLOC4,0.045487263337585036,0.018648525923895508,0.07834802774519736,0.007594789917713188,0.08324929170873305
ARHGAP29,0.04534217070798052,0.019028651953868637,0.07960046000529962,0.007449405643171144,0.0831049050954021
UBR4,0.045266992945655594,0.01922825854294966,0.08009023569069805,0.0073740773990467745,0.08303009252218616
IFFO1,0.04517238567455745,0.019482049864497857,0.08087795145832578,0.007279281365634742,0.08293594421754903
TP53INP1,0.04516547156768861,0.01950071163446495,0.08087795145832578,0.007272353490307855,0.0829290636265231
NPTN,0.044914322513617065,0.02018924685829165,0.08302400032191545,0.007020706774540871,0.0826791295662678
ST20,0.044795295389608046,0.020522903029974292,0.08403472513052614,0.006901445469933206,0.08256067660527333
SAP30,0.044265650999613805,0.02206652157385232,0.08916885628996281,0.006370772098631258,0.08203357417526569
NBEAL2,0.044121080482601716,0.022505013194416595,0.09043940084961204,0.006225924421339099,0.08188969383497227
ATG16L2,0.04397624161972815,0.0229518885508372,0.09147765026113963,0.006080809478351438,0.08174554485119694
CITED2,0.04386607010667179,0.023296942003295427,0.09247313789038124,0.005970429034035881,0.081635897035756
SULT1B1,0.04376235832519797,0.02362586684011518,0.09358736231972158,0.005866521415479102,0.08153267741027334
MARC1,0.04362561763389305,0.024065692939435102,0.09474951317534186,0.0057295237699406575,0.08139658437265895
TMEM170B,0.0435916524821297,0.02417603547306528,0.09499126488506014,0.005695495013624041,0.08136277987384181
CMTM2,0.04348259494479202,0.024533298571895713,0.09599448408690403,0.0055862338439392634,0.0812542375840474
CTSL,0.04344983883432594,0.024641493556872743,0.09599448408690403,0.0055534167479308226,0.08122163605642821
SOS2,0.04344666666169646,0.024651993298076446,0.09599448408690403,0.005550238673664751,0.08121847884964352
FBN2,0.04328248191092326,0.025200751004847907,0.09743955717213104,0.005385749512227601,0.08105506766348483
ULK1,0.04325179431212076,0.02530448236428046,0.09764612379536455,0.005355005243823359,0.08102452442558528
CDKN2B,0.042838215478172625,0.026738906465559268,0.10196506375176924,0.004940669658788124,0.0806128842325027
CTSB,0.042802045188546634,0.026867629749036184,0.10225503792721419,0.004904433804881692,0.0805768828774955
APBB3,0.042654280975511494,0.027399063593311086,0.10387027819261097,0.0047564027799804846,0.08042980777868486
RRP12,0.042610168445129167,0.027559460501072795,0.10427468388417602,0.004712210919323743,0.08038590065298198
ARAP1,0.042594023561284014,0.02761836664153937,0.10429426002184419,0.0046960370381442075,0.0803698309091965
RP11-552D4.1,0.042548219469835745,0.027786078191906927,0.10472384033105116,0.004650150787286608,0.0803242398881274
MAP3K7CL,0.042507424430469606,0.02793618717977013,0.10508554130994927,0.004609282707684674,0.08028363448507554
PIM1,0.042433058631586355,0.028211620624881185,0.10591635518935083,0.004534784088551164,0.08020961405405792
FAM129B,0.04241665959135473,0.02827267252442388,0.10594065129325628,0.004518355815599372,0.08019329111778835
DLEU7,0.04234969060981875,0.02852317325052028,0.1066733704802695,0.004451267668357838,0.08012663271271779
TMEM127,0.04227814942671591,0.02879288460836559,0.10737502990037268,0.004379599560584387,0.08005542293692561
H6PD,0.04221702191973509,0.029025071816695586,0.10781838394619658,0.004318363912781071,0.07999457829146163
CSF2RB,0.0422003605089256,0.029088637261330253,0.10781838394619658,0.004301673075523015,0.07997799393086638
LTB4R,0.042195533490330284,0.02910707531571716,0.10781838394619658,0.004296837535663403,0.07997318923077214
AL627309.1,0.04202085940921109,0.02978108450474378,0.1097958078350876,0.004121856290239586,0.07979932160239317
LGALS12,0.042017115249794304,0.02979567755363696,0.1097958078350876,0.004118105572126814,0.07979559470422053
P2RX1,0.04201328607461657,0.02981060830968118,0.1097958078350876,0.004114269690432737,0.07979178318113235
METTL22,0.041894067106009986,0.030278694278911156,0.11067974688392947,0.003994842476566334,0.07967311324664667
HPSE,0.04153377068750321,0.03173185567277407,0.11533994730497092,0.003633923282362574,0.07931446957768858
STEAP4,0.04135808201460997,0.03246186140267082,0.11760474510782881,0.003457934511189903,0.07913958327531155
BIRC3,0.04131949183859445,0.03262411950444991,0.11792070010826308,0.00341927873278699,0.07910116902918217
TSHZ3,0.04081632608713346,0.03480408658959709,0.12487011473273191,0.002915267977835406,0.07860028690503658
GCHFR,0.040758690948405125,0.035061550241892295,0.12556175095851096,0.0028575372772866084,0.0785429121267438
FAM173A,0.040666031943981884,0.03547887533345724,0.12635687527016606,0.002764725169364602,0.07845067117455522
