,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
HCAR2,0.04908890075908178,0.001598980397562249,0.008743570301393694,0.01861703416327527,0.07946965888366843
SIGLEC14,0.04907714166009739,0.0016031367406539,0.008743570301393694,0.018605250749415686,0.07945794581901881
RNF19B,0.04867840435201756,0.0017500961694033497,0.009518578610254886,0.018205693962291186,0.07906076451615855
CLEC12A,0.04856342408715,0.0017947172748780276,0.009734228321914621,0.018090479199596363,0.0789462311505628
KB-1507C5.4,0.04852382747422345,0.0018103241266039262,0.009791753148868751,0.018050802018239283,0.07890678825399763
CCBE1,0.04808926621540824,0.0019899881248321106,0.010675059584715815,0.017615362850964926,0.07847390773641472
MDM4,0.04773797049571606,0.002147027812716018,0.011454715142501262,0.01726336588667161,0.0781239623387557
AP003419.16,0.04770130348524875,0.002164057318219439,0.011514196274656689,0.017226626118133113,0.07808743583857193
GCH1,0.047522118515082375,0.0022490714918422705,0.011901843191965312,0.017047086776295465,0.07790893634301783
RP3-395M20.12,0.04742879559403572,0.002294549722659197,0.012077226766039539,0.01695358007008669,0.07781596965854971
RP11-16E12.1,0.047413763440599964,0.002301953446617968,0.012083712730503971,0.01693851836298132,0.07780099483712942
LRRC69,0.047366373557418635,0.0023254375772272444,0.01217434966901322,0.016891035400383884,0.0777537856072653
C2,0.04712354987191028,0.0024492465180989288,0.012770537949319101,0.016647736936684875,0.07751188544336833
TWISTNB,0.04711758810656894,0.0024523607093687345,0.012770537949319101,0.016641763560062004,0.07750594630717017
CCL5,0.04689212009851557,0.002572828575882809,0.013362329845035915,0.016415858021803703,0.0772813325275282
FBLIM1,0.04677079825313035,0.0026398664676979063,0.013638149191959105,0.016294302033794707,0.07716046905647976
CALR,0.046446619348561695,0.0028268993710452647,0.014565970969754285,0.01596950190634739,0.07683751057235368
HSF4,0.04638364900218916,0.002864603165246843,0.014721503930586138,0.01590641163615574,0.07677477654765448
STXBP5-AS1,0.046361717267116236,0.0028778422599792784,0.014750824987014207,0.015884438190190597,0.0767529270637818
MERTK,0.046340044294008884,0.0028909799736434143,0.014777855219489407,0.01586272402723699,0.07673133534275749
BCL2A1,0.04632815436887358,0.0028982106252726926,0.014777855219489407,0.015850811517312623,0.07671948998090164
C4orf48,0.046161737884968544,0.0030011603362057465,0.015262757563773844,0.015684079835048326,0.07655369632337664
LMNA,0.0460274905854451,0.0030866272862040975,0.01559701497143309,0.015549579501807295,0.07641995022986432
RNF122,0.04602113779505921,0.003090726153685413,0.01559701497143309,0.015543214764805684,0.07641362113022136
FBXO48,0.04589138493813959,0.0031755364778939784,0.015906890035278613,0.015413218444086203,0.07628435161009162
AC137934.1,0.04586537094028964,0.003192793038107401,0.015906890035278613,0.015387155758458958,0.07625843439291065
PTCH2,0.045858525989352084,0.00319734785574075,0.015906890035278613,0.015380298003399176,0.07625161490062782
ABCA1,0.045853617410178495,0.0032006178019058887,0.015906890035278613,0.015375380244033607,0.0762467245763461
SBNO2,0.04585323042791263,0.003200875727221539,0.015906890035278613,0.015374992538083034,0.07624633903319611
RP5-821D11.7,0.04568373687367077,0.003315681323507863,0.01643570640867948,0.015205182899756217,0.07607747492059236
TMUB1,0.04556687717905837,0.0033970055056733632,0.01679630500027385,0.01508810630050741,0.07596104818787909
KREMEN1,0.045377064926975456,0.0035329740679412654,0.01742459250637027,0.014897943516851987,0.07577193741850942
NFKBIZ,0.04511904198741744,0.003725742181220025,0.018329153745801026,0.014639447614817457,0.07551486453914436
MECP2,0.04510216639318715,0.003738676811784615,0.018346689717980643,0.014622541229147737,0.0754980509413664
C3,0.044985990078964005,0.0038288353188771,0.018742049016709877,0.01450615341099522,0.07538230095900071
CCDC9,0.04497382800803826,0.003838386953881849,0.018742049016709877,0.014493969246259241,0.07537018347182249
CNKSR3,0.0448392928089535,0.0039454988038397235,0.019165486829293716,0.014359190252266453,0.07523614085326383
TNFSF10,0.04483382095519972,0.003949912156066771,0.019165486829293716,0.01435370850625726,0.0752306890106364
