,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
CD247,-0.018719250656168432,0.3415458167354083,0.9996230553147778,-0.057238084040956,0.019855230000292313
TRH,-0.018927016855702736,0.33621320412801836,0.9996230553147778,-0.05744524048913569,0.019647471242564746
PLEC,-0.019045383045216326,0.3331992370043765,0.9996230553147778,-0.057563257814980506,0.019529107803132512
RIN2,-0.019486821175415336,0.3221130728429126,0.9996230553147778,-0.058003385389670294,0.019087670393274372
STARD10,-0.019729182583553766,0.3161299453526246,0.9996230553147778,-0.058245020900952814,0.018845302985324504
RAB3D,-0.01974534628845422,0.31573352489899675,0.9996230553147778,-0.05826113603339985,0.018829138719022243
CRIP1,-0.019757591908105724,0.31543341410649917,0.9996230553147778,-0.05827334484120602,0.01881689266062746
SH3TC1,-0.019805773023108465,0.31425442867623576,0.9996230553147778,-0.05832138100598321,0.01876870970700843
HNRNPH1,-0.01988740875455983,0.3122634315449916,0.9996230553147778,-0.05840277073373462,0.018687070451317442
TMEM154,-0.02004671931469329,0.30840200851371,0.9996230553147778,-0.058561599747835785,0.0185277515323467
SAMD4A,-0.020104941597983088,0.3069987049103864,0.9996230553147778,-0.05861964555683913,0.018469525705423515
PARP8,-0.020278626494422296,0.30283760379957003,0.9996230553147778,-0.058792802459524764,0.01829582868338406
RP11-51J9.5,-0.020405237126889797,0.2998280218134419,0.9996230553147778,-0.058919026741268726,0.018169207744411768
VNN2,-0.020412679299855976,0.2996517409273488,0.9996230553147778,-0.05892644616621766,0.01816176492712649
CPNE8,-0.02148171129637827,0.27504634998009836,0.9653396672752832,-0.059992166318356445,0.017092595962209713
RNF19B,-0.02151740835149368,0.27424922440515254,0.9653396672752832,-0.06002775126988022,0.017056892811354196
MAN2A2,-0.02166472232950866,0.27097635294049693,0.9595466212160811,-0.0601746015853136,0.01690955263691467
UBE2M,-0.021775786121463917,0.26852660201406053,0.9549191224693022,-0.06028531470800904,0.016798467987137182
VNN1,-0.021799888217837193,0.26799699174155667,0.9549191224693022,-0.06030934058007639,0.016774361238631245
PUM1,-0.021861817444477218,0.2666394729721886,0.9526956304573874,-0.06037107374725217,0.016712419852894747
RP3-525N10.2,-0.02194332758358017,0.26485994755878417,0.9480456245651064,-0.06045232538737032,0.016630893258900277
ATP11B,-0.021981988270787046,0.26401877500068616,0.9467436362140337,-0.06049086328872394,0.01659222458771764
RAE1,-0.022011551185673734,0.263376793582916,0.9461525030342798,-0.060520332234708325,0.016562655489819497
CD79B,-0.022181153961125855,0.2597145444245915,0.9398064627627098,-0.060689394612234715,0.016393015938448056
NENF,-0.022191333660274877,0.2594958595050397,0.9398064627627098,-0.06069954180596721,0.016382833961331975
PPM1M,-0.022236854543472025,0.2585195182550132,0.9389087998162841,-0.06074491723628834,0.016337302793800787
KIAA2013,-0.02223860783590519,0.25848196423090875,0.9389087998162841,-0.06074666492324314,0.01633554910205439
PHF21A,-0.022382622111044,0.2554101961404378,0.9389087998162841,-0.06089021796192027,0.016191501217230148
GCN1L1,-0.02240885520886839,0.2548533957012459,0.9389087998162841,-0.060916366871134046,0.01616526182478882
SFRP4,-0.022663031041692833,0.2495021503730277,0.9295453472238348,-0.061169724252673384,0.01591102225124945
HSPE1,-0.02266999293631451,0.2493566917093022,0.9295453472238348,-0.06117666366003849,0.01590405854058314
NOD2,-0.022698928271973205,0.2487527646054909,0.9295453472238348,-0.061205505493274526,0.015875115616901175
TXN,-0.022726789642716076,0.24817221946791856,0.9295453472238348,-0.06123327677126542,0.015847246878683934
COL6A3,-0.02279551222038955,0.24674430451816154,0.9284515291451886,-0.06130177687216911,0.015778505872236247
GBP5,-0.022800061375060864,0.2466499857428721,0.9284515291451886,-0.06130631128698443,0.015773955484787362
HCAR2,-0.02283369636758378,0.24595340614106453,0.9284515291451886,-0.06133983724841363,0.015740311327921138
FBXO30,-0.023320528041077718,0.236025235792917,0.8983455711657474,-0.06182508107983778,0.01525333722823577
TSHZ2,-0.023443974224967978,0.233553401726314,0.8920364144944203,-0.0619481217408172,0.015129852020790542
OGFOD2,-0.023451945973043894,0.2333944115186395,0.8920364144944203,-0.06195606726133113,0.0151218777122558
PNPLA2,-0.023780478868195596,0.2269086649638069,0.8788278957484943,-0.06228351501718915,0.014793235026868077
HIST1H1D,-0.023962869532609298,0.2233639338112834,0.8770904569262871,-0.06246529966977974,0.01461077981266778
CRLS1,-0.0241241398318044,0.2202627993667139,0.8683521493920352,-0.06262603200373473,0.014449450298544452
ADAMTS2,-0.024500510294391747,0.21314576317739786,0.8436487991632333,-0.06300113920089681,0.014072933827977918
RCAN1,-0.02458156407139094,0.21163501776084803,0.8393444804395233,-0.06308191950213154,0.013991847175664008
SEMA3C,-0.024590950678086285,0.2114605635872211,0.8393444804395233,-0.0630912744057853,0.013982456728993084
RNF103,-0.024600795683428142,0.21127770151527459,0.8393444804395233,-0.06310108615258576,0.013972607688838203
MAP3K1,-0.02466529427251008,0.2100825241154175,0.8393444804395233,-0.06316536666748993,0.013908082480923612
SYNPO2L,-0.024688664328571246,0.2096506794113373,0.8393444804395233,-0.06318865762893956,0.013884702700653069
CTC-459F4.3,-0.024717870200694218,0.20911190064556173,0.8393444804395233,-0.06321776459651343,0.013855484616764118
IGFBP5,-0.024846552365569936,0.2067499570816912,0.8333031806768163,-0.06334601020420624,0.013726747861870593
DEPDC5,-0.025006628533357545,0.20383886759003844,0.8266103771596037,-0.06350554153531872,0.013566602001131068
KIAA0232,-0.02508523338783133,0.20242034881868487,0.8230123466727697,-0.06358387812932073,0.013487962199710239
GIMAP8,-0.02519354304511881,0.20047756600998634,0.8180000790184274,-0.06369181737319012,0.013379603607268756
HSPH1,-0.025253433985474222,0.1994091412043162,0.8180000790184274,-0.06375150310289351,0.013319685218718652
FABP4,-0.025438163872046976,0.19613984588392952,0.8103027383079838,-0.06393559829513895,0.01313486892489753
THBS2,-0.02556662205444938,0.19388967657690848,0.8043582189372585,-0.06406361357686466,0.01300634910269626
CST7,-0.02572549271831889,0.1911330453305239,0.7945845469401025,-0.06422193473090756,0.0128474004430105
CCDC151,-0.02589645859901072,0.18819885754217658,0.7840301145086893,-0.06439230710147502,0.012676348450808358
