Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,response to acidic pH (GO:0010447),1/15,0.0185931285667873,0.0777623111031916,LGMN
GO_Biological_Process_2021,positive regulation of endothelial cell chemotaxis (GO:2001028),1/15,0.0185931285667873,0.0777623111031916,LGMN
GO_Biological_Process_2021,positive regulation of double-strand break repair via homologous recombination (GO:1905168),1/15,0.0185931285667873,0.0777623111031916,FUS
GO_Biological_Process_2021,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236),1/15,0.0185931285667873,0.0777623111031916,HERPUD1
GO_Biological_Process_2021,mammary gland epithelium development (GO:0061180),1/15,0.0185931285667873,0.0777623111031916,ID2
GO_Biological_Process_2021,cellular sodium ion homeostasis (GO:0006883),1/15,0.0185931285667873,0.0777623111031916,ATP1B3
GO_Biological_Process_2021,regulation of endothelial cell chemotaxis (GO:2001026),1/15,0.0185931285667873,0.0777623111031916,LGMN
GO_Biological_Process_2021,regulation of macrophage differentiation (GO:0045649),1/15,0.0185931285667873,0.0777623111031916,ID2
GO_Biological_Process_2021,vitamin D metabolic process (GO:0042359),1/15,0.0185931285667873,0.0777623111031916,LGMN
GO_Biological_Process_2021,regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),1/15,0.0185931285667873,0.0777623111031916,BTG2
GO_Biological_Process_2021,response to fatty acid (GO:0070542),1/19,0.0234949864071648,0.0786986536565197,PDK4
GO_Biological_Process_2021,positive regulation of focal adhesion assembly (GO:0051894),1/19,0.0234949864071648,0.0786986536565197,LIMS1
GO_Biological_Process_2021,cellular response to copper ion (GO:0071280),1/19,0.0234949864071648,0.0786986536565197,MT2A
GO_Biological_Process_2021,regulation of mitotic spindle assembly (GO:1901673),1/19,0.0234949864071648,0.0786986536565197,CHMP1B
GO_Biological_Process_2021,positive regulation of monocyte chemotaxis (GO:0090026),1/19,0.0234949864071648,0.0786986536565197,LGMN
GO_Biological_Process_2021,embryonic digestive tract development (GO:0048566),1/20,0.0247167737784927,0.0789403937731705,ID2
GO_Biological_Process_2021,negative regulation of macromolecule metabolic process (GO:0010605),2/194,0.0242575974048336,0.0789403937731705,ID2;LGMN
GO_Biological_Process_2021,mitotic cytokinetic process (GO:1902410),1/20,0.0247167737784927,0.0789403937731705,CHMP1B
GO_Biological_Process_2021,cellular monovalent inorganic cation homeostasis (GO:0030004),1/20,0.0247167737784927,0.0789403937731705,ATP1B3
GO_Biological_Process_2021,protein targeting to lysosome (GO:0006622),1/20,0.0247167737784927,0.0789403937731705,HSPA8
GO_Biological_Process_2021,endoplasmic reticulum calcium ion homeostasis (GO:0032469),1/20,0.0247167737784927,0.0789403937731705,HERPUD1
GO_Biological_Process_2021,NAD biosynthetic process (GO:0009435),1/21,0.0259370936730085,0.0815731495670192,NAMPT
GO_Biological_Process_2021,regulation of anoikis (GO:2000209),1/21,0.0259370936730085,0.0815731495670192,PDK4
GO_Biological_Process_2021,negative regulation of interleukin-2 production (GO:0032703),1/22,0.0271559477765973,0.0828759295108009,VSIG4
GO_Biological_Process_2021,negative regulation of B cell activation (GO:0050869),1/22,0.0271559477765973,0.0828759295108009,ID2
GO_Biological_Process_2021,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),1/22,0.0271559477765973,0.0828759295108009,HERPUD1
GO_Biological_Process_2021,regulation of centrosome cycle (GO:0046605),1/22,0.0271559477765973,0.0828759295108009,CHMP1B
GO_Biological_Process_2021,response to copper ion (GO:0046688),1/23,0.0283733377644313,0.0840993896327028,MT2A
GO_Biological_Process_2021,regulation of supramolecular fiber organization (GO:1902903),1/23,0.0283733377644313,0.0840993896327028,HSPA8
