"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-CZ-4864-01",10.2080515419045,30.1090356718014,6.60579381493888,11.7214620998836,0.080925520840601
"TCGA-A3-3316-01",13.3480863591699,24.9051621821793,7.40310553313769,16.7754121389947,0.114161614561256
"TCGA-B0-5119-01",14.6602222942033,29.9208442448349,10.353639180374,20.2259721565976,0.200370497204218
"TCGA-BP-4983-01",5.77855993389842,28.2178839675363,2.99479506859948,7.70230896520917,0.0672575395825123
"TCGA-B0-4848-01",14.409305378688,25.7165151032791,9.12907422150917,16.6177817462555,0.11119422303643
"TCGA-B0-5080-01",10.4783774949267,17.9023498249308,4.4953370121918,9.80683046533256,0.0796890589065653
"TCGA-AK-3447-01",161.53228069947,102.890495296886,61.6727529924271,128.033805082728,0.320781898960199
"TCGA-BP-5183-01",15.9471451555266,33.1816197337037,7.91502870449473,15.9352769480853,0.13256866773441
"TCGA-B4-5377-01",14.3725983424602,34.809751691324,10.6437262479406,20.6008059077376,0.229218219950401
"TCGA-AK-3453-01",35.9587124319636,53.6359985906638,8.10261247326868,24.7884941056096,0.140933374167644
"TCGA-CZ-4858-01",13.0445636828464,39.179121720613,2.9603272004657,10.1918474262304,0.0458529180035862
"TCGA-B0-5081-01",9.3281566111143,21.2215198565301,4.66718505474514,9.56351049769648,0.0639661676124063
"TCGA-B0-4836-01",18.8842074216463,32.1054439389036,9.63806420171812,18.2454869800631,0.0891464372698713
"TCGA-B0-5100-01",20.3332642779209,19.4967914337182,9.77583279595389,14.8234123992317,0.28479307808241
"TCGA-A3-3374-01",24.546253815991,66.2798080332692,20.3803171042606,29.4260885134692,0.334602816721466
"TCGA-B0-5085-01",28.0266675588347,25.6022728309822,11.4624963407186,19.49911357709,0.168371450986225
"TCGA-CJ-4892-01",17.4422311043602,29.6161051984157,9.97806998344585,16.2400228864768,0.146934308072267
"TCGA-B0-4849-01",13.0786478218097,22.0522224207456,7.62375107775992,15.6211123077349,0.172473754236745
