TF,fdr,nes,es,tag %,gene %,lead_genes
CEBPB human tf ARCHS4 coexpression,0,2.006183135,0.561797881,42/103,14.12%,CXCL3;CLEC5A;CTSL;CTSB;VSIG4;FCGR3A;TYMP;IER3;CD14;TREM1;PLAUR;CCL2;AQP9;RNASE1;IL1RN;SOD2;CTSD;THBD;C1QC;ADAM8;LGMN;C1QA;PPIF;MMP19;NFKB1;CCR1;PLEKHM2;C5AR1;INSIG1;CD163;STAB1;LILRB5;MAFK;ICAM1;SRC;BRI3;TOM1;PIM3;SEMA6B;TRIM25;OSCAR;FURIN
NFKB2 human tf ARCHS4 coexpression,0,1.984948486,0.576816069,49/99,18.96%,CXCL3;BCL2A1;TYMP;IER3;IL1B;FCGR2B;PLAUR;HLA-DRB1;CD83;RNASE1;IL1RN;SOD2;C1QC;ADAM8;C1QA;PPIF;MMP19;DUSP2;NFKB1;TNFAIP3;PLEKHM2;C5AR1;INSIG1;CEBPB;GADD45B;ICAM1;TNF;GAK;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;TNFAIP6;OSCAR;FURIN;DOT1L;BATF;PARP12;SAMSN1;OASL;SIGLEC1;IL10;FOLR2;OAS2;SPHK1;PPP1R12C;UBALD2
FOSL2 human tf ARCHS4 coexpression,0.000241948,1.975477206,0.574720584,40/100,15.08%,CXCL3;OLR1;G0S2;TYMP;IER3;TREM1;PLAUR;RGCC;IL1RN;SOD2;THBD;HBEGF;ADAM8;PPIF;MMP19;FAM129B;NFKB1;CCR1;PLEKHM2;C5AR1;DENND5A;ITGAM;EMP1;CEBPB;ATF3;GADD45B;MAFK;ICAM1;BHLHE40;GAK;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;OSCAR;FURIN;MINK1;OTUD1
NFKB1 human tf ARCHS4 coexpression,0.000231866,1.974986261,0.565462149,52/96,18.41%,CXCL3;CXCL2;BCL2A1;TYMP;IER3;IL1B;PLAUR;HLA-DRB1;CD83;IL1RN;SOD2;MS4A7;C1QC;NFKBIA;LGMN;C1QA;PPIF;MMP19;DUSP2;CCR1;IL6;TNFAIP3;PLEKHM2;C5AR1;INSIG1;DENND5A;CD163;STAB1;CEBPB;IL2RA;ICAM1;TNF;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;TNFAIP6;OSCAR;DOT1L;BATF;PARP12;SAMSN1;OASL;SIGLEC1;IL10;NR4A3;FOLR2;MX1;OAS2;SPHK1
TIPARP human tf ARCHS4 coexpression,0.000222592,1.973091839,0.61774792,22/50,14.07%,IER3;PLAUR;RGCC;THBD;HBEGF;NFKBIA;DUSP2;EREG;NFKB1;ADM;TNFAIP3;COLGALT1;USP36;SGK1;ATF3;GADD45B;ICAM1;BHLHE40;PTGS2;PIM3;ZC3H12C;SERTAD1
IRF5 human tf ARCHS4 coexpression,0.001284183,1.937156297,0.572208274,37/84,13.92%,TREM2;CTSB;VSIG4;TYMP;CD14;FCGR2B;PLAUR;HLA-DRB1;RNASE1;IL1RN;HLA-DPA1;CTSD;MS4A7;C1QC;ADAM8;LGMN;C1QA;MMP19;DUSP2;NFKB1;CCR1;HLA-DQB1;C5AR1;ITGAM;CD163;STAB1;CEBPB;LILRB5;HLA-DPB1;ICAM1;TNF;SRC;METRNL;TOM1;PIM3;TRIM25;OSCAR
HLX human tf ARCHS4 coexpression,0.002061034,1.897061714,0.545780417,36/93,13.92%,CXCL3;CTSL;CXCL2;VSIG4;TYMP;IER3;CD14;TREM1;FCGR2B;PLAUR;AQP9;RNASE1;IL1RN;SOD2;C1QC;ADAM8;C1QA;MMP19;NFKB1;CCR1;PLEKHM2;C5AR1;ITGAM;CD163;STAB1;CEBPB;LILRB5;ICAM1;TNF;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;OSCAR
MITF human tf ARCHS4 coexpression,0.003776109,1.840828866,0.709992026,22-Nov,8.72%,CTSL;CTSB;PMP22;DAB2;GPNMB;CTSD;CTNNB1;ARF6;FABP3;PIK3CB;SGK1
VDR human tf ARCHS4 coexpression,0.003645899,1.839745927,0.599511203,19/45,11.95%,CLEC5A;CTSB;TYMP;CD14;FCGBP;PLAUR;HLA-DRB1;CTSD;C1QC;FAM129B;CCR1;GK;CEBPB;MAPK13;ANPEP;HLA-DPB1;SEPP1;SRC;METRNL
ZNF385A human tf ARCHS4 coexpression,0.006677751,1.799842447,0.507252935,25/84,8.37%,TREM2;CTSL;CTSB;VSIG4;TYMP;CD14;CSTB;FCGR2B;PLAUR;CTSD;MS4A7;C1QC;ADAM8;LGMN;C1QA;MMP19;MS4A4A;CCR1;PLEKHM2;C5AR1;ITGAM;CD163;STAB1;CEBPB;LILRB5
JDP2 human tf ARCHS4 coexpression,0.008077925,1.78835752,0.535295693,30/91,8.37%,CLEC5A;TREM2;CTSL;CTSB;VSIG4;FCGR3A;TYMP;CD14;TREM1;SLCO2B1;FCGR2B;PLAUR;AQP9;RNASE1;CTSD;THBD;MS4A7;C1QC;ADAM8;LGMN;C1QA;MMP19;CCR1;PLEKHM2;C5AR1;ITGAM;CD163;STAB1;CEBPB;LILRB5
RELB human tf ARCHS4 coexpression,0.011129585,1.760915137,0.507101517,39/93,15.18%,CXCL3;CTSL;TYMP;IER3;CD14;FCGR2B;PLAUR;HLA-DRB1;CD83;RNASE1;IL1RN;SOD2;CTSD;C1QC;ADAM8;LGMN;C1QA;PPIF;MMP19;NFKB1;CCR1;PLEKHM2;C5AR1;CD163;STAB1;CEBPB;ICAM1;TNF;GAK;SRC;METRNL;TOM1;PIM3;TRIM25;OSCAR;FURIN;BATF;PARP12;SAMSN1
