TF,fdr,nes,es,tag %,gene %,lead_genes
MKX human tf ARCHS4 coexpression,0.897201753,1.137563394,0.426750229,Dec-49,18.34%,FN1;COL1A1;THBS2;COL6A1;ADAMTS2;COL1A2;IGFBP5;DAB2;LMNA;COL6A2;C1S;CALD1
ZNF234 human tf ARCHS4 coexpression,0.894212742,1.13700356,0.516541758,15-Jul,16.91%,CBWD3;NMNAT1;MDM4;CNKSR3;OTOA;ZNF726;ZNF713
CD36 human tf ARCHS4 coexpression,0.900227871,1.134345598,0.461721372,26-Dec,30.75%,GPNMB;G0S2;FABP3;LPL;TFRC;ACOX1;PNPLA2;FAM198B;ALDH1L1;GBE1;DGAT2;CAV2
HLF human tf ARCHS4 coexpression,0.903104592,1.132794843,0.489625891,21-Sep,24.97%,A2M;ASGR2;COL27A1;C2;C3;NRGN;CA11;ATP1B1;CAMKK2
SPI1 human tf ARCHS4 coexpression,0.901454056,1.13206268,0.414785854,21/88,16.96%,APOBEC3A;TYMP;FCGR3A;MX2;CSF3R;CCR1;IFI30;ITGAX;C5AR1;CDC42SE1;NCF1;BCL3;ZNF467;LFNG;LILRA6;R3HDM4;SIGLEC14;CLEC12A;SBNO2;FFAR2;YPEL3
RUNX3 human tf ARCHS4 coexpression,0.906890796,1.129768168,0.420283381,22/67,28.75%,SPI1;TYMP;MX2;OAS2;DUSP2;GADD45B;CDC42SE1;IRF1;BCL3;TNFAIP3;SBNO2;GIMAP6;ITGAL;KDM2A;EHD1;PLEKHO2;JAK3;HDAC10;RNF44;DOK3;NBEAL2;RELB
MET human tf ARCHS4 coexpression,0.904377129,1.129251764,0.438952966,Jul-36,14.96%,TM4SF1;LAMB3;CTNNB1;ERRFI1;EREG;CALR;LMNA
HIVEP1 human tf ARCHS4 coexpression,0.930560045,1.12186254,0.441576444,Aug-32,15.47%,CD83;SOD2;DUSP2;TNFAIP3;DMXL2;MAP3K1;BCL2A1;NFKBIZ
TFEB human tf ARCHS4 coexpression,0.933141298,1.120216095,0.404398003,29/85,28.86%,SPI1;TYMP;FCGR3A;MX2;CSF3R;FCGR2B;ITGAX;C5AR1;CDC42SE1;NCF1;BCL3;LFNG;LILRA6;R3HDM4;SIGLEC14;SBNO2;FFAR2;YPEL3;CSF2RB;BCL6;AQP9;CD300LB;PLEKHO2;FGD2;CHST15;HDAC10;DOK3;NBEAL2;NADK
MEF2A human tf ARCHS4 coexpression,0.93285821,1.119137609,0.44938078,31-Aug,19.15%,SLCO2B1;VSIG4;SAMD4A;FABP3;KCNMA1;PADI2;SYNPO2L;PDLIM5
ZNF225 human tf ARCHS4 coexpression,0.928945763,1.118948155,0.493208708,16-May,16.91%,NMNAT1;FBXO48;CNKSR3;ZNF726;ZNF713
VENTX human tf ARCHS4 coexpression,0.931679662,1.117305452,0.484098294,15-Jun,31.15%,NMNAT1;FBXO48;ZNF726;ZNF713;RP11-111M22.2;C5AR2
NR1H2 human tf ARCHS4 coexpression,0.927665594,1.11713256,0.402068535,26/64,35.50%,LY6E;SPI1;TYMP;JUNB;BCL3;PIM3;R3HDM4;SBNO2;YPEL3;EHD1;PLEKHO2;TFE3;PPP1R12C;HDAC10;DOK3;MXD4;XAB2;RELB;FURIN;ZBTB7B;ATG2A;PPP6R1;PBXIP1;REXO1;ABCD1;ZNF865
ZNF710 human tf ARCHS4 coexpression,0.938695259,1.113145534,0.38899113,44/95,38.20%,SPI1;TYMP;CCR1;FCGR2B;ITGAX;C5AR1;NCF1;BCL3;LFNG;LILRA6;R3HDM4;SIGLEC14;RNF19B;SBNO2;YPEL3;CSF2RB;BCL6;FOXO4;AQP9;EHD1;CD300LB;PLEKHO2;TFE3;PPP1R12C;CHST15;SRC;DOK3;IQSEC1;NBEAL2;NADK;FURIN;ZBTB7B;CD14;CIC;PPP6R1;PTPRJ;ITGAM;REXO1;ABCD1;ZNF865;NOP9;MEF2D;PPP1R9B;ARHGAP27
ZXDC human tf ARCHS4 coexpression,0.936701089,1.112543224,0.42620437,15/37,26.40%,FCGR3A;PLTP;DUSP2;PET100;TMEM154;CCBE1;TMUB1;ZNF726;BCL2L15;GIMAP6;CX3CR1;KDM2A;EIF4A3;KIAA0232;PLEKHG2
CREB3 human tf ARCHS4 coexpression,0.937769895,1.111261926,0.470863478,21-Sep,25.23%,GABARAP;SLC35F6;APBB3;CDKN1A;PHLDA2;SELM;CRIP2;TNFRSF12A;CYCS
ZFP36 human tf ARCHS4 coexpression,0.952157877,1.106291734,0.391156825,27/96,15.47%,SPI1;ATF3;IER2;NR4A1;NR4A3;DUSP2;RGS1;GADD45B;BTG2;ITGAX;SOCS3;C5AR1;CDC42SE1;TLE3;IRF1;PPP1R15A;JUN;BCL3;GRASP;NR4A2;JUND;OTUD1;PIM3;TNFAIP3;HCAR2;SBNO2;NFKBIZ
PLEK2 human tf ARCHS4 coexpression,0.950660322,1.105660847,0.430136833,Jun-43,6.13%,PLAU;DUSP4;G0S2;CDC42EP2;LAMB3;SLC20A1
SEMA4A human tf ARCHS4 coexpression,0.951895284,1.104200479,0.39639758,21/88,16.96%,APOBEC3A;TYMP;FCGR3A;SIGLEC1;MX2;CCR1;FCGR2B;IFI30;ITGAX;C5AR1;CDC42SE1;NCF1;BCL3;LILRA6;R3HDM4;SIGLEC14;RNF19B;CLEC12A;SBNO2;FFAR2;YPEL3
ZNF317 human tf ARCHS4 coexpression,0.949639987,1.103630256,0.442971119,13/28,30.29%,CXCL13;CMPK2;EGR2;HLA-DPB1;KDM2A;CLEC9A;BATF;JAK3;DOK3;PHF21A;DENND5A;NBPF12;ATF7IP2
