TF,fdr,nes,es,tag %,gene %,lead_genes
PGR human tf ARCHS4 coexpression,0.622597551,1.199883044,0.512760885,24-Jul,14.56%,TMEM176B;SLC7A8;THBS1;RIN2;LYVE1;GCH1;FAM198B
ZNF350 human tf ARCHS4 coexpression,0.634537543,1.194616424,0.582653552,18-Apr,9.37%,GPR34;RGS1;RBP7;OTUD1
ELF4 human tf ARCHS4 coexpression,0.629848187,1.194495092,0.415968823,26/76,21.16%,FCGR3A;C5AR1;CEBPB;TREM1;AQP9;ITGAM;PLEKHO2;PIM3;ARAP1;ITGAX;EHD1;DPEP2;SPI1;DOK3;UBALD2;TYMP;PRKCD;TFE3;NFAM1;HK3;RASAL3;BCL3;NADK;ATG16L2;DENND4B;MAP3K3
SLC22A4 human tf ARCHS4 coexpression,0.62631545,1.193949312,0.430888919,19/51,24.58%,C5AR1;TREM1;AQP9;DNAAF1;ARAP1;SPI1;KCNE3;DOK3;HCAR2;FPR2;PRKCD;NFAM1;NADK;SIGLEC14;CLEC4D;DNAH1;LILRA6;TRPV4;CCDC151
BCL6 human tf ARCHS4 coexpression,0.645958348,1.185361886,0.399835755,35/107,22.57%,FCGR3A;C5AR1;CEBPB;TREM1;CSF3R;AQP9;ITGAM;PLEKHO2;ARAP1;ITGAX;IRF1;DPEP2;SPI1;KCNE3;DOK3;HCAR2;FPR2;HCAR3;APOBEC3A;TYMP;RASSF3;SIRPB1;PRKCD;NFAM1;HK3;CR1;BCL3;NADK;ATG16L2;SIGLEC14;CLEC12A;CLEC4D;MAP3K3;YPEL3;LILRA6
NKX6-1 human tf ARCHS4 coexpression,0.653286182,1.181270864,0.50896422,24-Jul,10.78%,HAMP;SLC7A8;HSPA1A;JUN;HES1;DNAJB1;RIN2
ZBTB43 human tf ARCHS4 coexpression,0.676554113,1.17287283,0.530633906,16-Apr,5.74%,NLRP3;RASGEF1B;NFKBIZ;CD83
ASCL2 human tf ARCHS4 coexpression,0.679916139,1.17048174,0.401905031,25/84,19.85%,FCGR3A;C5AR1;CEBPB;SLC15A3;SIGLEC1;IFI30;PLEKHO2;METRNL;PIM3;ARAP1;ITGAX;IRF1;SPI1;DOK3;APOBEC3A;TYMP;PRKCD;NFAM1;HK3;RASAL3;BCL3;NADK;ATG16L2;ADAP1;SIGLEC14
RUNX2 human tf ARCHS4 coexpression,0.686851809,1.166143193,0.531636978,19-Apr,3.68%,NFKBIA;LPAR6;DUSP1;GPR183
KLF11 human tf ARCHS4 coexpression,0.726321333,1.152166349,0.484975923,25-Sep,25.39%,MAFB;FOSB;OTUD1;USP36;GRASP;KLHL15;PER1;ZNF513;HERC5
SSH2 human tf ARCHS4 coexpression,0.729011737,1.149282391,0.389046847,27/93,22.57%,FCGR3A;C5AR1;RGS2;TREM1;CSF3R;AQP9;ARAP1;ITGAX;IRF1;DPEP2;SPI1;KCNE3;DOK3;FPR2;APOBEC3A;RASSF3;SIRPB1;NFAM1;CR1;NADK;ATG16L2;SIGLEC14;CLEC12A;CLEC4D;MAP3K3;YPEL3;LILRA6
USF1 human tf ARCHS4 coexpression,0.759090735,1.138543967,0.376924381,31/97,23.43%,FCGR3A;C5AR1;CEBPB;TREM1;AQP9;ITGAM;PLEKHO2;ARAP1;ITGAX;IRF1;DPEP2;SPI1;DOK3;FPR2;UBALD2;TYMP;PRKCD;NFAM1;HK3;RASAL3;BCL3;NADK;ATG16L2;SIGLEC14;DENND4B;MAP3K3;YPEL3;LILRA6;FGD2;DCAF15;UNC13D
BATF3 human tf ARCHS4 coexpression,0.756967865,1.137115912,0.427543964,21/55,12.59%,CCL3L3;BCL2A1;SAMSN1;SOCS3;NFKB1;IL1RN;IL10;CD83;ICAM1;CREM;DUSP2;EBI3;SIGLEC1;TNF;IL2RA;HLA-DRB1;ISG15;PIM3;IFI44L;EHD1;GBP1
ARID5B human tf ARCHS4 coexpression,0.751538341,1.136879391,0.451548618,26-Oct,10.78%,DAB2;EGR1;AXL;PMP22;THBS1;PHACTR1;RCAN1;B4GALT1;RND3;RIN2
JUNB human tf ARCHS4 coexpression,0.745943788,1.13685821,0.392446508,33/103,23.63%,GADD45B;DUSP1;TNFAIP3;SOCS3;CEBPB;NFKBIZ;NR4A2;DUSP2;FOSB;IER2;JUN;KLF2;USP36;FOS;PIM3;ARAP1;EHD1;SPI1;PLK3;GRASP;UBALD2;TYMP;KLF6;RASAL3;BCL3;ATG16L2;DENND4B;PER1;MAP3K3;DNAH1;DCAF15;UNC13D;ZNF865
NR3C1 human tf ARCHS4 coexpression,0.746912891,1.134915587,0.466264278,Sep-37,11.44%,SAMSN1;TNFAIP3;NFKB1;CD83;DUSP2;EIF2AK3;BHLHE40;ENTPD1;STAT1
MEF2A human tf ARCHS4 coexpression,0.753811493,1.130767376,0.461402741,Apr-31,8.11%,SLCO2B1;VSIG4;KCNMA1;FABP3
ZNF319 human tf ARCHS4 coexpression,0.763606221,1.126302536,0.379444309,30/93,23.63%,FCGR3A;C5AR1;TREM1;CSF3R;AQP9;KLF2;PLEKHO2;ARAP1;ITGAX;DPEP2;SPI1;DOK3;FPR2;UBALD2;TYMP;SIRPB1;PRKCD;TFE3;NFAM1;HK3;BCL3;NADK;ATG16L2;SIGLEC14;DENND4B;MAP3K3;YPEL3;LILRA6;DCAF15;ZNF865
HLA-DQB1 human tf ARCHS4 coexpression,0.76394403,1.124520943,0.415591428,21/52,18.74%,MS4A7;GPR183;NFKB1;SLC15A3;CD83;FCGR2B;DUSP2;EBI3;IFI30;BHLHE40;PLEKHO2;HLA-DRB1;PIM3;ITGAX;SPI1;DOK3;GRASP;UBALD2;TYMP;PRKCD;BCL3
NEUROG3 human tf ARCHS4 coexpression,0.758701375,1.124430233,0.466759325,22-Jul,14.36%,PLTP;G0S2;FABP3;CEBPA;CD36;PPARG;SREBF1
ZBED1 human tf ARCHS4 coexpression,0.759590228,1.12247409,0.40685383,24/58,30.83%,CEBPB;SLC15A3;PLEKHO2;HLA-DRB1;PIM3;ARAP1;TOM1;TPCN1;DOK3;PNPLA6;TRIOBP;PRKCD;ZSWIM8;DCAF15;UNC13D;ZNF865;INPPL1;FURIN;OPLAH;GAK;TMEM127;POLRMT;MEF2D;CCAR2
MBD2 human tf ARCHS4 coexpression,0.769484236,1.118107571,0.414832393,28/61,30.68%,CEBPB;NFKB1;SLC15A3;FCGR2B;PLEKHO2;HLA-DRB1;ARAP1;STAT1;EHD1;UBALD2;TYMP;RASSF3;PRKCD;BCL3;NADK;MAP3K3;OAS2;GIMAP8;TLR8;OAS1;FURIN;CHD3;MINK1;PIK3CD;TMEM127;HLA-DPA1;MEF2D;PARP12
ID2 human tf ARCHS4 coexpression,0.766692632,1.117169943,0.472753816,29-Sep,8.46%,CCL3;NFKBIA;CCL3L1;CCL4L2;CCL3L3;CCL4;ALOX5AP;CREM;IL2RA
ZNF467 human tf ARCHS4 coexpression,0.771302682,1.114157075,0.368560934,34/107,23.63%,FCGR3A;C5AR1;TREM1;CSF3R;AQP9;ITGAM;KLF2;PLEKHO2;ARAP1;ITGAX;DPEP2;SPI1;DOK3;HCAR2;FPR2;UBALD2;APOBEC3A;CDA;TYMP;SIRPB1;PRKCD;HK3;BCL3;NADK;AMPD2;ATG16L2;SIGLEC14;CLEC12A;CLEC4D;MAP3K3;YPEL3;LILRA6;UNC13D;ZNF865
DHX34 human tf ARCHS4 coexpression,0.775296087,1.111505584,0.361826029,34/116,23.63%,FCGR3A;C5AR1;CEBPB;TREM1;CSF3R;AQP9;PLEKHO2;ARAP1;ITGAX;DPEP2;SPI1;DOK3;FPR2;APOBEC3A;PNPLA6;TYMP;SIRPB1;PRKCD;TFE3;NFAM1;HK3;BCL3;NADK;AMPD2;ATG16L2;SIGLEC14;DENND4B;MAP3K3;PGS1;YPEL3;LILRA6;DCAF15;UNC13D;ZNF865
HOXA5 human tf ARCHS4 coexpression,0.784940471,1.106804181,0.445749484,29-Jun,17.98%,DUSP1;FOSB;IER2;FOS;KLF6;KLHL15
RFX6 human tf ARCHS4 coexpression,0.78529271,1.105107765,0.451323284,24-Sep,13.35%,MAFB;TMEM176B;PDK4;ZNF331;EGR1;SLC7A8;RIN2;ALDH1A1;GCH1
ELF2 human tf ARCHS4 coexpression,0.78856671,1.102391557,0.461106049,21-May,18.69%,RASGEF1B;PELI1;DMXL2;CR1;SOS2
