TF,fdr,nes,es,tag %,gene %,lead_genes
SRF MUT MOUSE GSE1948 CREEDSID GENE 1397 DOWN,0.0,-2.1867281858068752,-0.8493931474001117,11/19,6.92%,CKB;GAPDH;UBB;HSP90AB1;HIST1H2AC;LGALS1;HSP90AA1;HSPE1;ANXA1;TUBA1B;CHCHD10
HOXA7 SHRNA FLHSPC HUMAN GSE76683 RNASEQ UP,0.0,-2.1905470804865024,-0.7034974746802692,28/51,7.41%,RPL36;MPO;VIM;STMN1;NUCB2;PTTG1;MT-ND4;MTRNR2L1;LGALS1;MT-ATP6;HSP90AA1;MTRNR2L12;CALR;H2AFZ;TOP2A;CENPF;MT-ND4L;MKI67;MT-ND2;RNASE2;MT-ND1;HIST1H1E;HSPE1;MTRNR2L10;RMND5A;RMRP;PPP2R1B;MT-ND3
WT1 OE HUMAN GSE5117 CREEDSID GENE 2720 UP,0.0,-2.1926873564051275,-0.6557780683720132,16/41,6.54%,SPARC;RAB13;PTTG1;HSPD1;HSP90AA1;CALR;H2AFZ;TOP2A;UBE2C;HSPB1;MT1G;CD63;HSPE1;ANXA1;TUBA1B;FABP5
SOX2 OE HUMAN GSE34920 CREEDSID GENE 1422 DOWN,0.0,-2.1997236032881253,-0.7868719059806982,18/26,13.76%,S100A4;UBB;PTTG1;HSPD1;HSP90AB1;LGALS1;HIST1H4C;TOP2A;UBE2C;MT1G;HSPE1;TUBA1B;HNRNPH1;MFSD3;MT1F;BTBD2;MT1E;IFITM3
ERG OE CD34 HUMAN GSE53665 RNASEQ DOWN,0.0,-2.2130661696934117,-0.7725904783215873,20/32,5.36%,RPL36;IGLL1;PRSS57;MPO;PRTN3;STMN1;MYB;NUCB2;HSPD1;CLEC11A;HSP90AB1;MT-ATP6;HSP90AA1;CALR;H2AFZ;TOP2A;CENPF;SOX4;SELL;TUBA1B
EZH2 SHRNA PROE HUMAN GSE59089 RNASEQ DOWN,0.0,-2.214663056189954,-0.9165710756113146,12/17,5.67%,GAPDH;RPL36;STMN1;UBB;HSPD1;HSP90AB1;HSP90AA1;H2AFZ;TOP2A;HSPE1;TUBA1B;RMRP
SRF KO MOUSE GSE1948 CREEDSID GENE 1158 DOWN,0.0,-2.2187856531745997,-0.7584376254214727,8/27,3.16%,RPL36;SPARC;STMN1;ATOX1;UBB;HIST1H2AC;LGALS1;CST3
RBM10 KD HEK293 HUMAN GSE44976 RNASEQ UP,0.0,-2.2272398974473253,-0.7035998115533397,17/45,8.82%,CKB;GAPDH;VIM;STMN1;HSPD1;MT-ND4;HSP90AA1;CALR;GOLM1;TOP2A;MKI67;MT-ND2;MT-ND1;MT-ATP8;MT-ND3;KIF23;HMGB2
IRF1 OE MOUSE GSE6505 CREEDSID GENE 2076 UP,0.0,-2.2370930784249246,-0.8193042814194639,12/25,5.89%,GAPDH;RPL36;HSPD1;TSPO;HSP90AB1;HIST1H2AC;HSP90AA1;H2AFZ;TOP2A;HSPE1;PTMS;SRSF9
RC3H1 SIRNA HEK293 HUMAN GSE68611 RNASEQ UP,0.0,-2.242412617666124,-0.713619632495844,22/48,6.31%,CKB;GAPDH;RPL36;VIM;STMN1;UBB;MT-ND4;MTRNR2L1;HSP90AA1;MTRNR2L12;CALR;GOLM1;H2AFZ;MTRNR2L8;CST3;MT-ND2;MT-ND1;SOX4;PTOV1;TUBA1B;PRELID1;TTLL12
IKZF1 MUT MOUSE GSE2501 CREEDSID GENE 1730 DOWN,0.0,-2.252391335078938,-0.7663421875848073,13/31,7.03%,GAPDH;RPL36;ACP5;ATOX1;LGALS1;TOP2A;CSTB;PTPRCAP;S100A13;MSRB1;TUBA1B;PPP2R5D;CRIP1
ATF6 ACTIVATION HESC HUMAN GSE106847 RNASEQ DOWN,0.0,-2.255372533638282,-0.7684985108662905,17/31,5.36%,CKB;GAPDH;STMN1;HSPD1;HSP90AB1;MTRNR2L1;HSP90AA1;MTRNR2L12;CALR;H2AFZ;TOP2A;MTRNR2L8;MT-ND2;MT-ND1;RTN3;HSPE1;TUBA1B
PHF20 SHRNA H1792 HUMAN GSE82115 RNASEQ DOWN,0.0,-2.272898690285894,-0.7345163682319806,22/54,6.31%,GAPDH;RPL36;VIM;UBB;HSPD1;HSP90AB1;MTRNR2L1;LGALS1;DLD;RNASE3;MGST1;HSP90AA1;SLC4A2;MTRNR2L12;CALR;TOP2A;MTRNR2L8;ANPEP;MKI67;ANXA1;TUBA1B;TTLL12
SETDB1 KD THP1 HUMAN GSE103409 SGRNA6DAY4 RNASEQ UP,0.0,-2.2734181112289766,-0.7033818654776313,18/50,9.54%,GAPDH;PRTN3;ELANE;CA2;UBB;HSPD1;CLEC11A;HSP90AB1;HSP90AA1;CALR;HSPB1;CENPF;CD63;CEBPA;CFD;SDF4;UBA7;STUB1
ETS1 SHRNA DU145 HUMAN GSE59020 RNASEQ DOWN,0.0,-2.2860019514644327,-0.8130031400616711,18/30,6.31%,GAPDH;RPL36;VIM;MT-ND4;MTRNR2L1;LGALS1;MT-ATP6;MTRNR2L12;H2AFZ;TOP2A;MTRNR2L8;MKI67;MT-ND2;ANXA1;MTRNR2L10;TUBA1B;SRSF9;TTLL12
MYC OE U2OS HUMAN GSE66927 RNASEQ DOWN,0.0,-2.296958066520166,-0.7070527438452493,25/65,5.36%,MMP9;GAPDH;SPARC;CD59;VIM;DUT;MMP14;MT-ND4;HSP90AB1;MTRNR2L1;LGALS1;MT-ATP6;CALR;H2AFZ;UBE2C;HSPB1;CST3;CD63;HIST1H1E;RTN3;PTMS;CD9;ANXA1;MTRNR2L10;TUBA1B
