Term,tag %,gene %,fdr,es,nes,lead_genes
ZNF420 human tf ARCHS4 coexpression,28-Jan,0.30%,0.978771356,-0.243469912,-0.764198542,STMN1
ZNF510 human tf ARCHS4 coexpression,Nov-51,20.17%,0.980193147,-0.218921221,-0.764346486,MTRNR2L1;CCSAP;FAM168B;LMBRD2;LPGAT1;KDM3B;HTT;ZDHHC20;DEAF1;YEATS2;TMOD2
ZNF484 human tf ARCHS4 coexpression,19-May,19.67%,0.9807583,-0.251754946,-0.765107994,KIAA1468;ZBTB17;ZNF548;ANKRD50;ZNF181
ZSCAN29 human tf ARCHS4 coexpression,27-Jul,19.18%,0.98145799,-0.241939498,-0.765790679,SOX4;PELI2;KDM3B;ZBTB18;NCOA6;USP31;SLC30A7
ZNF354C human tf ARCHS4 coexpression,26-Apr,16.25%,0.97808358,-0.233802666,-0.76910944,EDEM3;FRY;ZNF548;ANKRD50
YBX2 human tf ARCHS4 coexpression,16-Apr,17.66%,0.978847772,-0.292998465,-0.769612362,ZP3;TTLL4;REXO1;RNF38
ZNF646 human tf ARCHS4 coexpression,23/77,26.94%,0.977036221,-0.208487895,-0.771467282,SUN2;RPS6KA1;GRK6;SLC9A1;KLF13;FCN1;NADK;SETD1B;ATXN7L3;UPF1;PPP1R12C;CLCN7;REXO1;ZBTB7B;BRPF3;SEC16A;KMT2B;MS4A14;NBEAL2;TMEM259;ZNF592;XPO6;CIC
OLIG1 human tf ARCHS4 coexpression,28-Jun,15.07%,0.973326489,-0.249970222,-0.775165116,DGCR2;ACAP3;SCD5;ZBTB47;ITPK1;TNK2
ZNF45 human tf ARCHS4 coexpression,17-Jan,1.45%,0.973417714,-0.269909372,-0.776236898,TOP2A
CUX1 human tf ARCHS4 coexpression,28/75,28.96%,0.974603643,-0.201615017,-0.776482682,SLC9A1;ARHGEF11;HDAC4;SH3GLB2;ITPK1;SETD1B;KDM3B;GIGYF1;UPF1;PPP1R12C;HTT;NCOA6;TECPR2;TPCN1;ANKRD52;CUL9;UBAP2L;SEC16A;BTBD2;FAM65A;REPIN1;HIPK1;ZNF592;MED13L;CIC;ENGASE;ATP11A;DVL3
FOXD4 human tf ARCHS4 coexpression,17-Apr,12.94%,0.969283386,-0.287199219,-0.780884814,RNF24;ANKDD1A;SLC26A6;DGKQ
ISL2 human tf ARCHS4 coexpression,15/38,26.71%,0.970444024,-0.251345939,-0.781303099,DUS1L;TTLL12;UPF1;UBE2M;LONP1;NCLN;REXO1;SDCCAG3;E2F3;CHCHD10;SMG5;DHX37;KMT2B;GATAD2A;XPO6
PROX1 human tf ARCHS4 coexpression,20-Mar,7.00%,0.969970003,-0.279464354,-0.78283072,HP;LMBRD2;ASGR1
MKRN3 human tf ARCHS4 coexpression,18-Jan,0.30%,0.968437794,-0.307167506,-0.784804328,STMN1
RBAK human tf ARCHS4 coexpression,Feb-31,4.30%,0.969039804,-0.254576299,-0.785564119,HSPD1;FAR1
TBX15 human tf ARCHS4 coexpression,16-Mar,12.21%,0.96632812,-0.308747135,-0.788417438,CLTCL1;ZBTB47;GYS1
SMARCC2 human tf ARCHS4 coexpression,18/63,26.94%,0.954841463,-0.210785056,-0.796316438,FAM168B;ACAP3;TUBGCP6;SETD1B;KDM3B;GIGYF1;HTT;TNK2;MBD6;ANKRD52;CUL9;YEATS2;UBAP2L;SEC16A;BTBD2;KMT2B;MED13L;CIC
ZNF579 human tf ARCHS4 coexpression,20-Apr,14.38%,0.95239154,-0.296215698,-0.798749071,ROGDI;ZNF516;LPAR2;UBE2M
ZNF24 human tf ARCHS4 coexpression,Dec-55,16.48%,0.952880299,-0.237694303,-0.799309461,SLC44A1;ARHGAP19;FAR1;FAM168B;MCMBP;MAP3K1;LPGAT1;ZNF770;FBXO30;KDM3B;ZDHHC20;SPOPL
ZNF586 human tf ARCHS4 coexpression,18-Oct,26.86%,0.949919482,-0.283508433,-0.801740544,VSTM1;HHEX;SOX4;FRAT2;ZNF181;ZBTB11;PWWP2A;RICTOR;BRAP;ZNF234
PLXNA1 human tf ARCHS4 coexpression,17/60,23.33%,0.948631808,-0.225275247,-0.803141339,FAM168B;ARHGEF11;CKAP4;TRAM2;CENPB;AKT1S1;ATXN7L3;CALR;UPF1;NCLN;SHC1;ANKRD52;ADAM15;SEC16A;SMG5;BTBD2;MICALL1
ZNF181 human tf ARCHS4 coexpression,25-Feb,2.74%,0.950141888,-0.284684107,-0.803170936,STMN1;NUCB2
MNT human tf ARCHS4 coexpression,42/112,29.53%,0.950150962,-0.204213223,-0.803987066,ANKRD13D;SUN2;FAM214B;GRK6;PSTPIP1;TBC1D10B;PIK3CD;CFP;NADK;IL17RA;RNF166;TUBGCP6;SETD1B;GIGYF1;PSD4;FGD3;PPP1R12C;TNK2;FRAT1;NCOA6;MBD6;REXO1;GLTSCR1;ZBTB7B;PRKD2;FLYWCH1;NLRP1;BTBD2;FAM65A;NLRP12;ABCA7;KMT2B;C2CD2L;NBEAL2;TMEM259;XPO6;CIC;CCDC88B;PLEKHM1;TYK2;ZDHHC8;CSNK1G2
TRMT1 human tf ARCHS4 coexpression,16/43,25.72%,0.945405838,-0.265709108,-0.807340926,DUS1L;TTLL12;TACC3;UBE2M;PRSS57;LONP1;CLCN7;NCLN;REXO1;GTPBP6;ADAM15;SDCCAG3;SMG5;DHX37;PGP;TMEM259
LCOR human tf ARCHS4 coexpression,24-Mar,10.46%,0.946116771,-0.28439435,-0.807766952,STMN1;SOX4;LIN7A
ZNF592 human tf ARCHS4 coexpression,41/119,27.36%,0.944811942,-0.209360553,-0.809554442,STXBP2;SUN2;RBM38;NLRC5;RPS6KA1;GRK6;PIK3CD;KLF13;ARHGEF11;ATP2A3;NADK;IL17RA;RNF166;SETD1B;ATXN7L3;KDM3B;UPF1;HDAC7;FGD3;PPP1R12C;HTT;CLCN7;MBD6;ANKRD52;REXO1;ZBTB7B;RXRA;SIPA1;SEC16A;SMG5;BTBD2;PXN;ABCA7;KMT2B;GATAD2A;NBEAL2;TMEM259;XPO6;CIC;ENGASE;CCDC88B
ZNF664 human tf ARCHS4 coexpression,15/50,25.00%,0.94331896,-0.234363805,-0.811393214,FAM168B;CENPB;SH3GLB2;SUN1;ATXN7L3;KDM3B;UPF1;ANKRD52;PYGO2;UBAP2L;SEC16A;SMG5;UBFD1;REPIN1;ATRN
