Term,tag %,gene %,fdr,es,nes,lead_genes
UBP1 human tf ARCHS4 coexpression,26/58,29.26%,0.119974191,-0.438021997,-1.515731434,CALR;UBFD1;TM9SF3;TATDN2;ASXL1;DUS1L;SLC4A2;INTS1;NUP153;SRF;ZDHHC5;STRN;UPF1;MOGS;SEC16A;SMARCD2;KDM3B;FAM168B;REPIN1;REXO1;KMT2D;MGAT4B;MINK1;GATAD2A;UBAP2L;TAOK2
ZNF254 human tf ARCHS4 coexpression,18-Jul,9.55%,0.120529627,-0.58347118,-1.515755463,STMN1;HNRNPH1;SOX4;ZNF770;MTRNR2L12;ZNF117;TIA1
ZNF644 human tf ARCHS4 coexpression,19-Jul,11.68%,0.120520125,-0.550037549,-1.516262923,STMN1;ZNF770;LIN7C;MIB1;RCHY1;TIA1;KANSL1L
THAP11 human tf ARCHS4 coexpression,14/36,23.93%,0.120968749,-0.470401948,-1.516347795,PTPRCAP;DUT;UBE2C;SRSF9;GTPBP6;UBE2M;CDC34;TACC3;POLRMT;SMARCD2;H1FX;CSNK1G2;REPIN1;ABHD17A
ZC3H14 human tf ARCHS4 coexpression,19-Sep,25.38%,0.120270671,-0.568429409,-1.517838887,ZMYM1;C2CD3;PTGR2;MTRNR2L12;KANSL1L;ZNF320;TMEM116;ZNF780A;MAPKAPK5
ZNF782 human tf ARCHS4 coexpression,16/32,25.91%,0.120664534,-0.512601414,-1.518018456,ZNF438;VPS33B;SLC22A15;SLC25A29;RALGAPA2;FAM120C;FAM188A;MCMBP;NAPEPLD;RABGAP1;FAR1;ZNF419;AHCYL2;ANKRD50;GABPA;EXOC6
ZNF180 human tf ARCHS4 coexpression,25-Jul,9.55%,0.121236403,-0.547317546,-1.518024926,KIAA0101;H2AFZ;KIAA1958;SOX4;ZNF514;HKR1;TIA1
POU3F2 human tf ARCHS4 coexpression,20-Apr,3.46%,0.121113305,-0.55197963,-1.519113842,STMN1;CENPF;HSP90AA1;SOX4
TCF20 human tf ARCHS4 coexpression,30/63,30.06%,0.120637146,-0.447042079,-1.520384944,MKI67;ASXL1;INTS1;TTLL12;RPTOR;NUP153;TAF4;ZDHHC5;TNRC18;STRN;UPF1;TACC3;CTDP1;SIPA1L3;SEC16A;NOTCH1;KDM3B;FOXK2;CSNK1G2;BRPF3;PHRF1;STK35;REXO1;SYNGAP1;MINK1;GATAD2A;UBAP2L;TAOK2;NPLOC4;MTMR3
REPIN1 human tf ARCHS4 coexpression,39/74,29.98%,0.121099275,-0.454645365,-1.520792432,CLCN7;LONP1;DUS1L;STK11;GTPBP6;TMEM259;UBA1;DVL3;UBE2M;GSK3A;SLC4A2;FZR1;INTS1;TTLL12;SLC38A10;MEN1;SYVN1;TNRC18;UPF1;ZNF787;MOGS;ARFGAP1;POLRMT;FBRSL1;SEC16A;SMARCD2;H1FX;MAP3K11;CSNK1G2;ZNF282;REXO1;SDF4;MGAT4B;MINK1;GATAD2A;CENPB;TAOK2;ADAM15;AKT1S1
CSDE1 human tf ARCHS4 coexpression,17/40,21.88%,0.117894614,-0.512799705,-1.525435929,HSPB1;HSPD1;UBFD1;TM9SF3;GPD2;PANK3;ATMIN;NUP153;SEC16A;SMARCD2;MAPK6;KDM3B;G6PD;HIPK1;AP1G1;FAM168B;TLK2
POU3F4 human tf ARCHS4 coexpression,20-Jun,12.90%,0.118169412,-0.577848589,-1.525714705,STMN1;HIST1H4C;SOX4;ING1;HSDL1;FAM188A
ZNF367 human tf ARCHS4 coexpression,18-Aug,14.88%,0.116653147,-0.573863895,-1.527946282,HSPD1;SLBP;MKI67;TFRC;KIF23;NUP153;MCMBP;TACC3
FOXC1 human tf ARCHS4 coexpression,17/34,25.15%,0.115542608,-0.534218638,-1.530170629,ECI1;MKI67;CDK16;DUS1L;UBE2M;SLC4A2;TTLL12;NUP153;MEN1;SRF;UPF1;FBRSL1;LRP3;H1FX;FOXK2;ZNF282;MICALL1
TLX1 human tf ARCHS4 coexpression,15/36,18.04%,0.115145695,-0.517278658,-1.531207628,CEBPE;MKI67;CDK16;DUS1L;STK11;ATHL1;TMEM259;UBE2M;GSK3A;TTLL12;LRRC45;ARFGAP1;FBRSL1;LRP3;EME2
TERF2IP human tf ARCHS4 coexpression,21-May,9.28%,0.114502134,-0.53500928,-1.533063781,STMN1;BEX2;RTN3;HSDL1;BASP1
ZFHX4 human tf ARCHS4 coexpression,20-Jun,9.55%,0.114949834,-0.566775621,-1.533216487,STMN1;BEX2;KIAA1958;SOX4;TERF2;TIA1
ZNF292 human tf ARCHS4 coexpression,16-May,15.22%,0.11344085,-0.566284458,-1.535498331,STMN1;SOX4;ZNF117;TIA1;SYNE2
TIGD5 human tf ARCHS4 coexpression,35/60,29.98%,0.111793513,-0.456425243,-1.538299699,MFSD3;CDK16;B3GALT6;DUS1L;STK11;NCLN;TMEM259;DVL3;UBE2M;SLC4A2;FZR1;INTS1;TTLL12;BRD9;RPTOR;UPF1;ZNF787;LRRC45;MOGS;POLRMT;FBRSL1;LRP3;SMARCD2;EME2;INTS5;ZNF282;DHX37;PPP1R37;MICALL1;SLC27A4;CENPB;TAOK2;NPLOC4;ADAM15;AKT1S1
RBPJ human tf ARCHS4 coexpression,20-Oct,17.20%,0.107467608,-0.569339039,-1.543043562,STMN1;HNRNPH1;KIAA1958;SOX4;ZNF770;TRIM59;TIA1;UBTD2;NFIA;ZNF320
KLF7 human tf ARCHS4 coexpression,25-Sep,18.76%,0.107266494,-0.50843682,-1.543785837,STMN1;SOX4;RTN3;CLASP2;HSDL1;BASP1;RNF24;SYNJ2;KIF1B
ASCL1 human tf ARCHS4 coexpression,17-Jun,9.55%,0.10743855,-0.634294444,-1.544325884,STMN1;TUBA1B;RECQL5;SOX4;RTN3;TIA1
ZMAT4 human tf ARCHS4 coexpression,16-Jun,9.55%,0.105600925,-0.610243918,-1.547351836,STMN1;BEX2;ATP8A1;CLASP2;TRIM59;TIA1
ZNF821 human tf ARCHS4 coexpression,15-Apr,8.68%,0.105450261,-0.556339351,-1.548208953,STMN1;BEX2;RTN3;HSDL1
ZSCAN10 human tf ARCHS4 coexpression,15-Sep,24.32%,0.105933126,-0.626318692,-1.548357277,MFGE8;HSPD1;HSP90AB1;TTLL12;PRKCI;F11R;ERCC2;TGIF1;ZNF398
HES3 human tf ARCHS4 coexpression,16-Jul,17.66%,0.103995107,-0.615225838,-1.551361902,MFGE8;UBFD1;HSP90AB1;MED14;TTLL12;F11R;ERCC2
ZNF138 human tf ARCHS4 coexpression,16-Jun,9.55%,0.103962017,-0.628664533,-1.552083541,STMN1;RTN3;MTRNR2L12;ZNF117;RCHY1;TIA1
NKX2-8 human tf ARCHS4 coexpression,18-Jun,9.78%,0.099154703,-0.603604026,-1.558652342,CEBPE;TOP2A;UBB;CDK16;NCLN;UBE2M
