Term,tag %,gene %,fdr,es,nes,lead_genes
UBTF human tf ARCHS4 coexpression,39/73,33.12%,0.06607373766045353,-0.4661993736569041,-1.6512813398461326,SLC4A2;CALR;REPIN1;EML3;ATP2A3;TTLL12;SDF4;BTBD2;UBA1;INTS1;ATXN7L3;CLCN7;DHX37;POLRMT;SMARCD2;WDR81;SUN2;TATDN2;MOGS;INPPL1;CENPB;RPTOR;JADE2;GIGYF1;MEN1;SEC16A;RNF44;ANKRD52;HTT;FBRSL1;SRF;ZNF592;GATAD2A;DUS1L;LENG8;GTPBP6;REXO1;KLF13;SMG5
SF3A2 human tf ARCHS4 coexpression,41/74,33.23%,0.06474938813377243,-0.5038214307072035,-1.653559404868102,SLC4A2;REPIN1;EML3;CEBPE;PTOV1;TTLL12;AKT1S1;SDF4;H1FX;UBE2M;CTDNEP1;TOP3B;LRRC45;BTBD2;UBA1;INTS1;WDTC1;CLCN7;MAP2K2;POLRMT;TBC1D10B;PIGQ;ACAP3;MOGS;INPPL1;ABHD17A;GIGYF1;MEN1;CDK16;RNF44;ANKRD52;FBRSL1;GATAD2A;NCLN;SNAPC4;DUS1L;LENG8;GTPBP6;REXO1;SMG5;GSK3A
TFDP1 human tf ARCHS4 coexpression,10/25,15.89%,0.06468546828325426,-0.6433084742799677,-1.6544538360768064,HSPD1;SLC4A2;CALR;MKI67;TTLL12;SDCCAG3;UBE2M;UBA1;DHX37;SMARCD2
LHX9 human tf ARCHS4 coexpression,3/15,3.99%,0.0649443084867439,-0.7062797970156762,-1.6550523289162087,STMN1;BEX2;SOX4
GRHL3 human tf ARCHS4 coexpression,6/21,12.05%,0.06406385742179099,-0.5723248420180803,-1.6570683804758173,CSTB;CD9;ANXA1;SPINT1;CNFN;CLTB
SIX5 human tf ARCHS4 coexpression,30/50,31.03%,0.06448667168393632,-0.5631563226616574,-1.6574113758436086,SLC4A2;REPIN1;PTMS;PTOV1;NDST1;AKT1S1;MGAT4B;SDF4;BTBD2;UBA1;INTS1;TNRC18;MAP2K2;POLRMT;MFGE8;PTDSS2;CDC34;MOGS;INPPL1;CENPB;RFNG;POFUT2;MEN1;CDK16;DAG1;ANKRD52;FBRSL1;ZNF282;SNAPC4;DUS1L
USP39 human tf ARCHS4 coexpression,6/19,6.31%,0.06425149721582686,-0.6789082576343398,-1.6591464480979587,HSPD1;HSP90AB1;TUBA1B;SRSF9;PRELID1;TTLL12
KLF1 human tf ARCHS4 coexpression,15/35,12.40%,0.06485197849821776,-0.605737722331415,-1.659236753578771,PRSS57;DUT;CLEC11A;TSPO;COMTD1;NFE2;TXNRD2;PRELID1;TTLL12;HBB;RILP;LYL1;LMO2;TESC;SLBP
SOX8 human tf ARCHS4 coexpression,3/27,1.83%,0.06512459899635281,-0.6137419456368423,-1.6607140571628651,SPARC;SCD5;FXYD6
ZNF512B human tf ARCHS4 coexpression,35/67,33.12%,0.06505999125925326,-0.49371831024549595,-1.6620749043621614,SLC4A2;REPIN1;PCYT2;NDST1;AKT1S1;MGAT4B;SDF4;LRRC45;BTBD2;UBA1;INTS1;ATXN7L3;TNRC18;LRP3;POLRMT;SMARCD2;ACAP3;MOGS;INPPL1;MROH6;CENPB;RPTOR;GIGYF1;MEN1;SEC16A;CDK16;ANKRD52;FBRSL1;TMEM63B;ZNF282;SNAPC4;DUS1L;LENG8;REXO1;SMG5
ID1 human tf ARCHS4 coexpression,12/34,12.24%,0.06551271134013115,-0.5721944513104522,-1.6623973085826143,SLC4A2;CALR;S100A13;PCYT2;SPINT1;NDST1;AKT1S1;MGAT4B;SDF4;PTGES2;CLTB;INTS1
WIZ human tf ARCHS4 coexpression,38/71,33.23%,0.06614875708129747,-0.48635211231474196,-1.6627252081830117,SLC4A2;REPIN1;PTMS;PTOV1;NDST1;AKT1S1;MGAT4B;SDF4;H1FX;UBE2M;CTDNEP1;AGAP3;BTBD2;UBA1;INTS1;ATXN7L3;TNRC18;LRP3;MAP2K2;TBC1D10B;ACAP3;MOGS;INPPL1;CENPB;RPTOR;MEN1;SEC16A;CDK16;ANKRD52;FBRSL1;TMEM63B;SRF;ZNF282;GATAD2A;DUS1L;REXO1;SMG5;GSK3A
ST18 human tf ARCHS4 coexpression,8/23,8.02%,0.06662102820123224,-0.6271084780732366,-1.6635574745752568,SCD5;STMN1;FXYD6;BEX2;SOX4;SLC25A12;TBC1D24;NYAP2
MYC human tf ARCHS4 coexpression,15/34,12.40%,0.06478876669954818,-0.6190482179301967,-1.6670583827952679,PRSS57;DUT;CLEC11A;COMTD1;SLC4A2;MKI67;REPIN1;NFE2;SRSF9;PRELID1;TTLL12;SDF4;SDCCAG3;INTS1;SLBP
SUZ12 human tf ARCHS4 coexpression,7/17,13.23%,0.06543665436654367,-0.6575945246882644,-1.6670663117932252,HSPD1;TOP2A;MKI67;KIF23;LBR;SENP1;ARHGAP19
ZNF300 human tf ARCHS4 coexpression,4/21,4.14%,0.06537128308346021,-0.6149509902830985,-1.668259172551811,STMN1;FXYD6;SOX4;RTN3
ZNF764 human tf ARCHS4 coexpression,5/26,2.32%,0.06548801751753781,-0.6478312021585684,-1.6691905292241502,SPINK2;PRSS57;DUT;CLEC11A;COMTD1
MTA2 human tf ARCHS4 coexpression,23/53,25.29%,0.06375384927520963,-0.5303775594308899,-1.6729044485248705,SLC4A2;CALR;REPIN1;EML3;TTLL12;SDF4;SDCCAG3;LONP1;UBE2M;UBA1;INTS1;ATXN7L3;DHX37;MAP2K2;POLRMT;SMARCD2;MOGS;INPPL1;CENPB;RPTOR;GIGYF1;MEN1;SEC16A
HOXD4 human tf ARCHS4 coexpression,5/16,5.25%,0.0644179518718264,-0.6909521817131284,-1.673431253861549,VIM;LGALS1;PTMS;ANXA1;PTOV1
TEAD4 human tf ARCHS4 coexpression,10/17,18.63%,0.061689847667707444,-0.6650253892526066,-1.678951134004781,SLC4A2;TTLL12;UBFD1;AKT1S1;PTGES2;SDCCAG3;TNNT1;POLRMT;GYS1;ESRRA
ZNF593 human tf ARCHS4 coexpression,7/16,6.12%,0.06158113954298299,-0.7741027155434795,-1.6800671057030285,PRSS57;DUT;CLEC11A;TSPO;COMTD1;ATP5D;PRELID1
ZNF74 human tf ARCHS4 coexpression,3/16,3.99%,0.06185669797144622,-0.6591913770499561,-1.6811245047738799,STMN1;FXYD6;SOX4
RBM10 human tf ARCHS4 coexpression,32/54,31.03%,0.061356633633225965,-0.5458691936796489,-1.6824968488745011,SLC4A2;REPIN1;EML3;PTMS;PTOV1;TTLL12;SDF4;UBE2M;LRRC45;BTBD2;UBA1;INTS1;CLCN7;DHX37;MAP2K2;POLRMT;SMARCD2;PIGQ;CDC34;MOGS;INPPL1;PCED1A;GIGYF1;MEN1;SEC16A;CDK16;ANKRD52;FBRSL1;GATAD2A;NCLN;SNAPC4;DUS1L
RFX3 human tf ARCHS4 coexpression,9/15,19.43%,0.057684769578042354,-0.7039745686677289,-1.6907554379555245,CKB;STMN1;SPEF2;MSMO1;CAPS;SNAPC3;PTBP2;TIA1;CCDC146
TCF12 human tf ARCHS4 coexpression,8/22,7.87%,0.05672774676464714,-0.6481127850801781,-1.6942134498380959,CKB;SCD5;STMN1;FXYD6;SOX4;SESN3;TUBA1B;ELMOD2
FOXC2 human tf ARCHS4 coexpression,7/40,1.98%,0.055547227900973904,-0.5561632102996128,-1.6983776670738455,SPARC;CD59;VIM;MMP14;SELM;EXT1;LGALS1
ZNF462 human tf ARCHS4 coexpression,7/16,14.22%,0.05556559062094118,-0.7149470269935146,-1.700133648572938,STMN1;BEX2;SOX4;HSPE1;YPEL1;AGO1;ZNF320
ZNF221 human tf ARCHS4 coexpression,5/16,8.02%,0.05289814171351263,-0.7125101052131271,-1.7033487869103974,STMN1;MTRNR2L12;SOX4;RAB3IP;NYAP2
